"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Addictions and Mental Health – Graduate Certificate","https://cambriancollege.ca/programs/addictions-and-mental-health/","PSY 1003","Concurrent Disorders, Mental Health & Addictions",NA
"2","Cambrian College of Applied Arts and Technology","Addictions and Mental Health – Graduate Certificate","https://cambriancollege.ca/programs/addictions-and-mental-health/","ADC 1001","Case Management in Professional Practice",NA
"3","Cambrian College of Applied Arts and Technology","Addictions and Mental Health – Graduate Certificate","https://cambriancollege.ca/programs/addictions-and-mental-health/","ADC 1100","Foundations of Therapeutic Counselling",NA
"4","Cambrian College of Applied Arts and Technology","Addictions and Mental Health – Graduate Certificate","https://cambriancollege.ca/programs/addictions-and-mental-health/","ADC 1105","Community Integration: Addictions and Mental Health",NA
"5","Cambrian College of Applied Arts and Technology","Addictions and Mental Health – Graduate Certificate","https://cambriancollege.ca/programs/addictions-and-mental-health/","SSC 1201","Diversity-Informed Practices",NA
"6","Cambrian College of Applied Arts and Technology","Addictions and Mental Health – Graduate Certificate","https://cambriancollege.ca/programs/addictions-and-mental-health/","ADC 1250","Impulse Control Disorders and Behavioral Addictions",NA
"7","Cambrian College of Applied Arts and Technology","Addictions and Mental Health – Graduate Certificate","https://cambriancollege.ca/programs/addictions-and-mental-health/","LDS 1010","Concurrent Disorders and Mental Health II",NA
"8","Cambrian College of Applied Arts and Technology","Addictions and Mental Health – Graduate Certificate","https://cambriancollege.ca/programs/addictions-and-mental-health/","HEA 1061","Wellness Coaching",NA
"9","Cambrian College of Applied Arts and Technology","Addictions and Mental Health – Graduate Certificate","https://cambriancollege.ca/programs/addictions-and-mental-health/","LDS 1100","Trauma Informed Practices",NA
"10","Cambrian College of Applied Arts and Technology","Addictions and Mental Health – Graduate Certificate","https://cambriancollege.ca/programs/addictions-and-mental-health/","LDS 1500","Cognitive-Behavioral Strategies in Practice",NA
"11","Cambrian College of Applied Arts and Technology","Addictions and Mental Health – Graduate Certificate","https://cambriancollege.ca/programs/addictions-and-mental-health/","ADC 1350","Addictions and Mental Health: Youth and Older Adults",NA
"12","Cambrian College of Applied Arts and Technology","Addictions and Mental Health – Graduate Certificate","https://cambriancollege.ca/programs/addictions-and-mental-health/","ADC 1400","Field Placement Preparation",NA
"13","Cambrian College of Applied Arts and Technology","Addictions and Mental Health – Graduate Certificate","https://cambriancollege.ca/programs/addictions-and-mental-health/","ADC 1410","Field Placement OR Capstone Project",NA
"14","Cambrian College of Applied Arts and Technology","Addictions and Mental Health – Graduate Certificate","https://cambriancollege.ca/programs/addictions-and-mental-health/","LDS 1600","Summative Reflection Practice",NA
