"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1001","Life Drawing I",NA
"2","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1002","Animation I",NA
"3","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1003","Design I",NA
"4","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1004","Drawing and Painting I",NA
"5","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1005","Digital Methodologies: Tools",NA
"6","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1006","Visual Language",NA
"7","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1121","Animation History and Styles",NA
"8","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ENG 1002","College Communications",NA
"9","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1008","Animation II",NA
"10","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1009","Design II",NA
"11","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1010","Story Concepts",NA
"12","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1011","Drawing and Painting II",NA
"13","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1039","Life Drawing II",NA
"14","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1040","Digital Methodologies-3D I",NA
"15","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1018","Digital Methodologies -2D Animation",NA
"16","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1014","Animation III",NA
"17","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1015","Design III",NA
"18","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1016","Story and Visual Narrative I",NA
"19","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1050","Digital Methodologies - 2D II",NA
"20","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1041","Life Drawing III",NA
"21","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1042","Digital Methodologies-3D II",NA
"22","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 2315","Layout and Design I",NA
"23","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1020","Animation IV",NA
"24","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1021","Design IV",NA
"25","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1022","Story and Visual Narrative II",NA
"26","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1051","Digital Methodologies - 2D III",NA
"27","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1025","Digital Methodologies-Modeling I",NA
"28","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1043","Life Drawing IV",NA
"29","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1044","Digital Methodologies-3D III",NA
"30","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 2415","Layout & Design II",NA
"31","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1026","Production Processes-Story",NA
"32","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1028","Animation V",NA
"33","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1029","Design V",NA
"34","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1030","Production Processes-Layout",NA
"35","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1032","Design and Art Direction",NA
"36","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1045","Life Drawing V",NA
"37","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1046","Digital Methodologies-3D IV",NA
"38","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1034","Animation VI",NA
"39","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1035","Design VI",NA
"40","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1036","Production Processes-Background",NA
"41","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1038","Digital Methodologies-Modeling II",NA
"42","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1047","Life Drawing VI",NA
"43","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1048","Digital Methodologies-3D V",NA
"44","Cambrian College of Applied Arts and Technology","Animation","https://cambriancollege.ca/programs/animation/","ANI 1052","Digital Methodologies - 2D IV",NA
