"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","AFP 1100","Ideas & Imagery",NA
"2","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","AFP 1105","Design Fundamentals",NA
"3","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","ART 1008","Colour and Design",NA
"4","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","AFP 1120","Fundamentals of Drawing",NA
"5","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","AFP 1125","Fine Art Studio 2D",NA
"6","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","ART 1009","Introduction to Art History",NA
"7","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","AFP 1135","Introduction to Digital Photography",NA
"8","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","COM 1001","Media Communication",NA
"9","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","AFP 1200","Life Drawing",NA
"10","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","AFP 1205","Drawing from your Imagination",NA
"11","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","AFP 1210","Applied Colour",NA
"12","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","AFP 1220","Intro to Digital Multimedia",NA
"13","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","AFP 1225","Analytical Drawing",NA
"14","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","AFP 1230","Fine Art Studio: 3-D",NA
"15","Cambrian College of Applied Arts and Technology","Art and Design Fundamentals","https://cambriancollege.ca/programs/art-and-design-fundamentals/","AFP 1235","Graphic Design Studio",NA
