"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","ACC 1045","Introduction to Accounting",NA
"2","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","BUS 1211","Business Mathematics",NA
"3","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","ENG 1002","College Communications",NA
"4","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","ISP 3026","Spreadsheets for Business",NA
"5","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","BUS 1146","Introduction to Business Management",NA
"6","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","ECN 1101","Microeconomics",NA
"7","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","BUS 1125","Business Professionalism",NA
"8","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","ACC 1050","Financial Accounting",NA
"9","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","BUS 1212","Financial Mathematics",NA
"10","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","MKT 1204","Foundations of Marketing",NA
"11","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","ECN 1202","Macroeconomics",NA
"12","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","BUS 1153","CSR and Ethics",NA
"13","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","BUS 1111","Business Research Methods",NA
"14","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","BUS 1233","Statistics",NA
"15","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","ACC 2312","Managerial Accounting",NA
"16","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","ENG 2205","Business Reports and Presentations",NA
"17","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","FIN 1101","Corporate Finance",NA
"18","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","MKT 1200","Applied Marketing",NA
"19","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","BUS 2041","Human Resources Management",NA
"20","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","BUS 1037","Project Management",NA
"21","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","BUS 2040","Organizational Behavior",NA
"22","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","BUS 1217","Strategic Business Decisions",NA
"23","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","BUS 2320","Business Law",NA
"24","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","BUS 3501","Operations Management",NA
"25","Cambrian College of Applied Arts and Technology","Business","https://cambriancollege.ca/programs/business/","MKT 3680","Professional Selling",NA
