"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","ACC 1045","Introduction to Accounting",NA
"2","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 1211","Business Mathematics",NA
"3","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","ENG 1002","College Communications",NA
"4","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","ISP 3026","Spreadsheets for Business",NA
"5","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 1146","Introduction to Business Management",NA
"6","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","ECN 1101","Microeconomics",NA
"7","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 1125","Business Professionalism",NA
"8","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","ACC 1050","Financial Accounting",NA
"9","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","MKT 1204","Foundations of Marketing",NA
"10","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 1212","Financial Mathematics",NA
"11","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","ECN 1202","Macroeconomics",NA
"12","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 1153","CSR and Ethics",NA
"13","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 1111","Business Research Methods",NA
"14","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","ACC 2312","Managerial Accounting",NA
"15","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 1233","Statistics",NA
"16","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","ENG 2205","Business Reports and Presentations",NA
"17","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","MKT 1200","Applied Marketing",NA
"18","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","FIN 1101","Corporate Finance",NA
"19","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 2041","Human Resources Management",NA
"20","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 1037","Project Management",NA
"21","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 2040","Organizational Behavior",NA
"22","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 1217","Strategic Business Decisions",NA
"23","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 2320","Business Law",NA
"24","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 3501","Operations Management",NA
"25","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","MKT 3680","Professional Selling",NA
"26","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 1144","Business Research and Plan",NA
"27","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","MKT 3550","Strategic Marketing Management",NA
"28","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","MKT 2350","Customer Relationship Management",NA
"29","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","QMM 1003","Business Analytics",NA
"30","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 1040& BUS 1126","Supply Chain Managementand Small Business Management",NA
"31","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","MKT 2381& MKT 1202","Communication Designand Digital Media and Marketing",NA
"32","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 1046","Work Placement",NA
"33","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 1145","International Management",NA
"34","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","MKT 1020& MKT 1003","Integrated Marketing Communicationsand Campaign Strategies",NA
"35","Cambrian College of Applied Arts and Technology","Business Administration","https://cambriancollege.ca/programs/business-administration/","BUS 1500& FIN 1005","Continuous Process Improvementand Financial Planning",NA
