"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Business Analytics – Graduate Certificate","https://cambriancollege.ca/programs/business-analytics/","DBA 1000","Database Mgmt & Warehousing",NA
"2","Cambrian College of Applied Arts and Technology","Business Analytics – Graduate Certificate","https://cambriancollege.ca/programs/business-analytics/","ANA 1000","Foundations of Data Analytics",NA
"3","Cambrian College of Applied Arts and Technology","Business Analytics – Graduate Certificate","https://cambriancollege.ca/programs/business-analytics/","QMM 1001","Statistics for Data Analytics",NA
"4","Cambrian College of Applied Arts and Technology","Business Analytics – Graduate Certificate","https://cambriancollege.ca/programs/business-analytics/","EXL 1002","Dashboards and Data Analysis",NA
"5","Cambrian College of Applied Arts and Technology","Business Analytics – Graduate Certificate","https://cambriancollege.ca/programs/business-analytics/","ANA 1003","Data Collection and Ethics",NA
"6","Cambrian College of Applied Arts and Technology","Business Analytics – Graduate Certificate","https://cambriancollege.ca/programs/business-analytics/","ANA 1001","Programming for Analytics",NA
"7","Cambrian College of Applied Arts and Technology","Business Analytics – Graduate Certificate","https://cambriancollege.ca/programs/business-analytics/","QMM 1002","Stats and Data Visualization",NA
"8","Cambrian College of Applied Arts and Technology","Business Analytics – Graduate Certificate","https://cambriancollege.ca/programs/business-analytics/","MKT 1006","Marketing Simulation",NA
"9","Cambrian College of Applied Arts and Technology","Business Analytics – Graduate Certificate","https://cambriancollege.ca/programs/business-analytics/","BTA 1013","Communicating with Data",NA
"10","Cambrian College of Applied Arts and Technology","Business Analytics – Graduate Certificate","https://cambriancollege.ca/programs/business-analytics/","ANA 1004","Enterprise Analytics",NA
"11","Cambrian College of Applied Arts and Technology","Business Analytics – Graduate Certificate","https://cambriancollege.ca/programs/business-analytics/","MKT 1005","Marketing and Social Media Analytics",NA
"12","Cambrian College of Applied Arts and Technology","Business Analytics – Graduate Certificate","https://cambriancollege.ca/programs/business-analytics/","BTA 1015","Data Mining",NA
"13","Cambrian College of Applied Arts and Technology","Business Analytics – Graduate Certificate","https://cambriancollege.ca/programs/business-analytics/","BUS 1141or BUS 1142","Capstone Projector Placement",NA
