"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Business Fundamentals","https://cambriancollege.ca/programs/business-fundamentals/","ACC 1045","Introduction to Accounting",NA
"2","Cambrian College of Applied Arts and Technology","Business Fundamentals","https://cambriancollege.ca/programs/business-fundamentals/","BUS 1211","Business Mathematics",NA
"3","Cambrian College of Applied Arts and Technology","Business Fundamentals","https://cambriancollege.ca/programs/business-fundamentals/","ENG 1002","College Communications",NA
"4","Cambrian College of Applied Arts and Technology","Business Fundamentals","https://cambriancollege.ca/programs/business-fundamentals/","ISP 3026","Spreadsheets for Business",NA
"5","Cambrian College of Applied Arts and Technology","Business Fundamentals","https://cambriancollege.ca/programs/business-fundamentals/","BUS 1146","Introduction to Business Management",NA
"6","Cambrian College of Applied Arts and Technology","Business Fundamentals","https://cambriancollege.ca/programs/business-fundamentals/","ECN 1101","Microeconomics",NA
"7","Cambrian College of Applied Arts and Technology","Business Fundamentals","https://cambriancollege.ca/programs/business-fundamentals/","BUS 1125","Business Professionalism",NA
"8","Cambrian College of Applied Arts and Technology","Business Fundamentals","https://cambriancollege.ca/programs/business-fundamentals/","ACC 1050","Financial Accounting",NA
"9","Cambrian College of Applied Arts and Technology","Business Fundamentals","https://cambriancollege.ca/programs/business-fundamentals/","MKT 1204","Foundations of Marketing",NA
"10","Cambrian College of Applied Arts and Technology","Business Fundamentals","https://cambriancollege.ca/programs/business-fundamentals/","BUS 1212","Financial Mathematics",NA
"11","Cambrian College of Applied Arts and Technology","Business Fundamentals","https://cambriancollege.ca/programs/business-fundamentals/","ECN 1202","Macroeconomics",NA
"12","Cambrian College of Applied Arts and Technology","Business Fundamentals","https://cambriancollege.ca/programs/business-fundamentals/","BUS 1153","CSR and Ethics",NA
"13","Cambrian College of Applied Arts and Technology","Business Fundamentals","https://cambriancollege.ca/programs/business-fundamentals/","BUS 1111","Business Research Methods",NA
