"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","CIV 1200","Concrete & Asphalt 1",NA
"2","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","CIV 2331","Construction Technology",NA
"3","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","ENG 1002","College Communications",NA
"4","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","MTH 1050","Algebra I",NA
"5","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","SUR 1116","Surveying I 1",NA
"6","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","CAD 1001","Engineering Graphics",NA
"7","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","ENG 1754","Technical Communication",NA
"8","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","MCH 1205","Mechanics",NA
"9","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","MTH 1250","Algebra II",NA
"10","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","SUR 1220","Surveying II 1",NA
"11","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","SUR 1232","Survey Field Methods",NA
"12","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","CAD 1200","Computer Aided Drafting II",NA
"13","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","CIV 2300","Soil Mechanics I 1",NA
"14","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","CIV 2302","Civil Engineering Applications",NA
"15","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","CIV 2421","Basic Hydraulics",NA
"16","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","MCH 2310","Strength Of Materials I",NA
"17","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","MTH 2325","Technical Math III",NA
"18","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","ENV 1027","Sustainable Practices",NA
"19","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","CIV 2405","Structural Behaviour & Detailing",NA
"20","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","CIV 2408","Computer Aided Structural Detailing",NA
"21","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","CIV 2431","Municipal Planning",NA
"22","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","CIV 3500","Special Projects 1",NA
"23","Cambrian College of Applied Arts and Technology","Civil Engineering Technician","https://cambriancollege.ca/programs/civil-engineering-technician/","CIV 3520","Contracts Law & Specifications",NA
