"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","CWP 1210","Penology",NA
"2","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","CWP 2310","Community Corrections",NA
"3","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","ENG 1002","College Communications",NA
"4","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","FIT 1510","Physical Fitness and Wellness",NA
"5","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","LAW 1010","Canadian Criminal Justice",NA
"6","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","PSY 1050","Introduction To Psychology I",NA
"7","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","CWP 1006","Youth Justice",NA
"8","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","CWP 1012","Inclusive Practices I",NA
"9","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","CWP 1211","Law For Correctional Workers",NA
"10","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","ENG 1126","Commun. Skills/Justice Students I",NA
"11","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","CWP 2346","Addictions",NA
"12","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","PSY 1106","Interpersonal & Tactical Response",NA
"13","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","SOC 1205","Social Issues/Social Welfare in CA",NA
"14","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","SOC 1210","Introduction To Criminology",NA
"15","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","CWP 1007","Inclusive Practices II",NA
"16","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","CWP 1010","Field Seminar I",NA
"17","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","CWP 2311","Program Assessment & Planning",NA
"18","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","CWP 2340","Interviewing, Counseling, & Case Management",NA
"19","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","CWP 2350","Safety & Security",NA
"20","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","CWP 2450","Observation and Report Writing",NA
"21","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","PSY 1003","Concurrent Disorders, Mental Health & Addictions",NA
"22","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","CWP 1011","Field Placement",NA
"23","Cambrian College of Applied Arts and Technology","Community and Justice Services","https://cambriancollege.ca/programs/community-and-justice-services/","CWP 1005","Field Placement Seminar II",NA
