"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 2306","Local Area Networks",NA
"2","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CMP 1117","Introduction to Programming",NA
"3","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 2321","Windows for IT Professionals",NA
"4","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CMP 1119","IT Essentials",NA
"5","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","ENG 1002","College Communications",NA
"6","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 1007","Routing & Switching Essentials",NA
"7","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 1019","Identity with Windows Server 2016",NA
"8","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","ENG 1754","Technical Communication",NA
"9","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","STY 1211","Database Design",NA
"10","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 1008","Scaling Networks",NA
"11","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 1015","Connecting Networks",NA
"12","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 1018","Networking with Windows 2016",NA
"13","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CMP 1102","SQL Server",NA
"14","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 2415","Applied Project Management",NA
"15","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 1014","PowerShell",NA
"16","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 2331","UNIX System Administration",NA
"17","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","NET 1002","Scaling Enterprise Networks",NA
"18","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 1017","Installation, Storage, and Compute with Windows Server 2016",NA
"19","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 1000","Enterprise Security",NA
"20","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 1006","MS Exchange Server",NA
"21","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CRM 1001","Cybersecurity Operations",NA
"22","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 2420","Multi-Platform Environments",NA
"23","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 1020","Securing Windows Server 2016",NA
"24","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 1004","Infrastructure Troubleshooting",NA
"25","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 1021","Designing Hybrid Cloud Solutions",NA
"26","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 1005","Implementing Enterprise Solutions",NA
"27","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 1016","Firewall Design: Perspectives",NA
"28","Cambrian College of Applied Arts and Technology","Computer Systems Technology","https://cambriancollege.ca/programs/computer-systems-technology/","CET 3601","Field Placement",NA
