"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Corporate Safety and Security","https://cambriancollege.ca/programs/corporate-safety-and-security/","ENG 1002","College Communications",NA
"2","Cambrian College of Applied Arts and Technology","Corporate Safety and Security","https://cambriancollege.ca/programs/corporate-safety-and-security/","SEC 1001","Note Taking and Report Writing",NA
"3","Cambrian College of Applied Arts and Technology","Corporate Safety and Security","https://cambriancollege.ca/programs/corporate-safety-and-security/","SEC 1004","Private Investigating and Specialized Services",NA
"4","Cambrian College of Applied Arts and Technology","Corporate Safety and Security","https://cambriancollege.ca/programs/corporate-safety-and-security/","SEC 1200","Security & Communities",NA
"5","Cambrian College of Applied Arts and Technology","Corporate Safety and Security","https://cambriancollege.ca/programs/corporate-safety-and-security/","SEC 2322","Security Guard Private Inv. Duties",NA
"6","Cambrian College of Applied Arts and Technology","Corporate Safety and Security","https://cambriancollege.ca/programs/corporate-safety-and-security/","SEC 2410","Security Guard: Powers of Arrest",NA
"7","Cambrian College of Applied Arts and Technology","Corporate Safety and Security","https://cambriancollege.ca/programs/corporate-safety-and-security/","LAW 1105","Ethics & Diversity Issues",NA
"8","Cambrian College of Applied Arts and Technology","Corporate Safety and Security","https://cambriancollege.ca/programs/corporate-safety-and-security/","PSY 1106","Interpersonal & Tactical Response",NA
"9","Cambrian College of Applied Arts and Technology","Corporate Safety and Security","https://cambriancollege.ca/programs/corporate-safety-and-security/","SEC 1002","Personal Safety Techniques",NA
"10","Cambrian College of Applied Arts and Technology","Corporate Safety and Security","https://cambriancollege.ca/programs/corporate-safety-and-security/","SEC 1205","Investigations and Evidence",NA
"11","Cambrian College of Applied Arts and Technology","Corporate Safety and Security","https://cambriancollege.ca/programs/corporate-safety-and-security/","SEC 2400","Conflict Management",NA
"12","Cambrian College of Applied Arts and Technology","Corporate Safety and Security","https://cambriancollege.ca/programs/corporate-safety-and-security/","SEC 2421","Security Management",NA
