"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","BIO 1107","Anatomy & Physiology I",NA
"2","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1003","Orofacial Anatomy",NA
"3","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1004","Oral Histology",NA
"4","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1005","Microbiology/Immunology",NA
"5","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1006","Dental Hygiene Practice I",NA
"6","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1007","Dental Hygiene Theory I",NA
"7","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","ENG 1121","Research & Writing/Health Sciences",NA
"8","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1008","Professional Practice",NA
"9","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1009","Dental Hygiene Theory II",NA
"10","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1011","Oral Health Promotion",NA
"11","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1012","Dental Radiography",NA
"12","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1013","Professional Communication and Computer Software",NA
"13","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1028","Pre-Clinical Dental Hygiene",NA
"14","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","BIO 1207","Anatomy & Physiology II",NA
"15","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1014","Dental Hygiene Theory III",NA
"16","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1015","Clinical Dental Hygiene - Introduction",NA
"17","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1016","Diverse Populations - Pediatrics",NA
"18","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1017","Human Pathophysiology",NA
"19","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1018","Periodontics",NA
"20","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1019","Intro. to Statistics and Research Methods",NA
"21","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1020","Health Care in Canada",NA
"22","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1021","Nutrition in Health Promotion",NA
"23","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1022","Dental Hygiene Theory IV",NA
"24","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1023","Clinical Dental Hygiene - Intermediate",NA
"25","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1024","Diverse Populations - Geriatrics",NA
"26","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1025","Community Health",NA
"27","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1026","Promoting Health In Multicultural Populations",NA
"28","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1027","Individuals with Special Needs",NA
"29","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1029","Oral Pathology",NA
"30","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1040","Pharmacology in Dental Hygiene",NA
"31","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1030","Dental Hygiene Theory V",NA
"32","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1031","Clinical Dental Hygiene Advanced",NA
"33","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1032","Health Promotion and Community",NA
"34","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1033","Evidence-based Practice",NA
"35","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1034","Health Policy and Advocacy",NA
"36","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 2435","Orthodontics Theory & Practice",NA
"37","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1035","Dental Hygiene Theory VI",NA
"38","Cambrian College of Applied Arts and Technology","Dental Hygiene","https://cambriancollege.ca/programs/dental-hygiene/","DEN 1039","Professional Practice & Jurisprudence",NA
