"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","AFP 1100","Ideas & Imagery",NA
"2","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","AFP 1105","Design Fundamentals",NA
"3","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","ART 1008","Colour and Design",NA
"4","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","AFP 1120","Fundamentals of Drawing",NA
"5","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","AFP 1125","Fine Art Studio 2D",NA
"6","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","ART 1009","Introduction to Art History",NA
"7","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","AFP 1135","Introduction to Digital Photography",NA
"8","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","COM 1001","Media Communication",NA
"9","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","AFP 1200","Life Drawing",NA
"10","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","AFP 1205","Drawing from your Imagination",NA
"11","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","AFP 1210","Applied Colour",NA
"12","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","AFP 1220","Intro to Digital Multimedia",NA
"13","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","AFP 1225","Analytical Drawing",NA
"14","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","AFP 1230","Fine Art Studio: 3-D",NA
"15","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","AFP 1235","Graphic Design Studio",NA
"16","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","ART 1014","Business of the Arts",NA
"17","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","ART 1016","Art and Design Project I",NA
"18","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","ART 1017","Portfolio Development I",NA
"19","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","ART 1018","Materials and Processes I",NA
"20","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","ART 1019","Art and Design Project II",NA
"21","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","ART 1021","Materials and Processes II",NA
"22","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","ART 1023","Portfolio Development II",NA
"23","Cambrian College of Applied Arts and Technology","Design and Visual Arts","https://cambriancollege.ca/programs/design-and-visual-arts/","BUS 1023","Business Application",NA
