"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1024","Group Dynamics and Advocacy",NA
"2","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1027","Self Care Skills",NA
"3","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1026","Field Seminar",NA
"4","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1117","Disabilities Strategies I",NA
"5","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1125","Understanding Disabilities",NA
"6","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","ENG 1002","College Communications",NA
"7","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","HSC 1136","Basic Nursing Skills",NA
"8","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","PSY 1135","Issues in Developmental Psychology",NA
"9","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1022","Field Work IIA",NA
"10","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1210","Community Employability Skills",NA
"11","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1217","Disabilities Strategies II",NA
"12","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1115","Positive Behavioral Supports I",NA
"13","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1230","Autism Spectrum Disorders",NA
"14","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","ENG 1242","Speaking/Writing Comm. Services I",NA
"15","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","HSC 1236","Basic Nursing Skills II",NA
"16","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1021","Pharmacology for Developmental Services Worker",NA
"17","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1023","Field Work IIB",NA
"18","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1225","Crisis Management and Prevention",NA
"19","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 2310","Dual Diagnosis: Assessment & Treatment",NA
"20","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 2316","Adult Issues and Advocacy",NA
"21","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 2317","Disability and Communication Systems",NA
"22","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1218","Positive Behavioral Supports II",NA
"23","Cambrian College of Applied Arts and Technology","Developmental Services Worker","https://cambriancollege.ca/programs/developmental-services-worker/","DSW 1028","Fieldwork III",NA
