"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","CAD 1002","Electrical CAD",NA
"2","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","ELC 1004","Prints & Electrical Code I",NA
"3","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","ELC 1009","Electrical Workplace Safety",NA
"4","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","ELC 1125","Electrical Installation I 1",NA
"5","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","ELR 1121","Electrical Fundamentals 1",NA
"6","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","ENG 1002","College Communications",NA
"7","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","MTH 1152","Electrical Math I",NA
"8","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","ELC 1211","Electrical Installation II",NA
"9","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","ELC 1215","Motor Control Fundamentals",NA
"10","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","ELC 1226","Digital Electronics Theory 1",NA
"11","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","ELC 2308","Prints & Electrical Code II",NA
"12","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","INT 1008","Instrumentation Fundamentals",NA
"13","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","MTH 1252","Electrical Math II",NA
"14","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","ELC 1011","Prints and Electrical Code III",NA
"15","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","ELN 2320","Power Electronics I 1",NA
"16","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","ELC 2316","Electrical Systems Lab 1",NA
"17","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","ELC 2317","Electrical Systems Theory 1",NA
"18","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","ENG 1754","Technical Communication",NA
"19","Cambrian College of Applied Arts and Technology","Electrical Engineering Technology","https://cambriancollege.ca/programs/electrical-engineering-technology/","INT 1006","Instrumentation I 1",NA
