"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","EMI 7100","Air Quality Assessment",NA
"2","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","EMI 7105","Hydrology & Water Quality Assess 1",NA
"3","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","EMI 7125","Experimental Design & Data Analysis",NA
"4","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","EMI 7210","Industrial Impact/Mine Reclamation 1",NA
"5","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","EMI 7235","Ecological Monitoring",NA
"6","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","EMI 7120","GIS Applications",NA
"7","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","EMI 7205","Water Remediation Techniques",NA
"8","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","EMI 7200","Environmental Impact Assess & Model",NA
"9","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","EMI 7225","Air Pollution Abatement",NA
"10","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","GIS 7000","Geomatics",NA
"11","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","TEC 7001","Site Assessment and Reporting",NA
"12","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","ECO 7000","Hydrology II",NA
"13","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","ECO 7240","Ecological Monitoring II",NA
"14","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","EMI 7101","Environmental Toxicology",NA
"15","Cambrian College of Applied Arts and Technology","Environmental Monitoring and Impact Assessment – Graduate Certificate","https://cambriancollege.ca/programs/environmental-monitoring-impact-assessment/","EMI 7500","Work Placement",NA
