"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","ECO 1000","Principles of Ecology",NA
"2","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","ENV 1007","Biodiversity Fundamentals",NA
"3","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","ENV 1008","Water Properties and Monitoring",NA
"4","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","CMP 1011","Computer Applications",NA
"5","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","MTH 1003","Math I",NA
"6","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","CHM 1005","Chemistry Fundamentals 1",NA
"7","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","ENG 1002","College Communications",NA
"8","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","ENV 1012","Outdoor Equipment and Survival",NA
"9","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","ENV 1015","Environmental Microbiology & Toxicology",NA
"10","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","ENV 1018","Data Management",NA
"11","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","INT 1009","Intro to Instrumentation",NA
"12","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","TEC 1000","Technical Reporting",NA
"13","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","ENV 1009","Air Properties and Monitoring",NA
"14","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","ENV 1011","Soil Science",NA
"15","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","CAD 1100","Computer-Aided Drafting I",NA
"16","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","CHM 1012","Environmental Chemistry 1",NA
"17","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","ECO 1002","Solid Waste Management",NA
"18","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","WTR 1000","Water Remediation Techniques",NA
"19","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","ECO 1001","Ecosystem Restoration",NA
"20","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","ENV 1013","Principles of Natural Resources Management",NA
"21","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","ENV 1028","Advanced Air Monitoring",NA
"22","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","GIS 1000","GIS Applications",NA
"23","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","WHS 1000","Environmental Workplace Safety",NA
"24","Cambrian College of Applied Arts and Technology","Environmental Technician","https://cambriancollege.ca/programs/environmental-technician/","ENV 1019","Field Placement",NA
