"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FLM 3410","Recreation Trends",NA
"2","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","BIO 1800","Musculoskeletal Foundations",NA
"3","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","HEA 1190","Health Promotion and Wellness",NA
"4","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","MKT 1104","Marketing Essentials",NA
"5","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","ENG 1121","Research & Writing/Health Sciences",NA
"6","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","BIO 2121","Anatomy, Physiology, and Disease",NA
"7","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FHP 1200","Recreation Management",NA
"8","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FLM 1101","Mental Training for Exercise",NA
"9","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FHP 2400","Nutrition for Health",NA
"10","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FHP 1250","",NA
"11","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FHP 1150","",NA
"12","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FHP 1300","Lifespan Exercise Programming",NA
"13","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FHP 1201","Nutrition for Performance",NA
"14","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FHP 1301","Outdoor Recreation and Fitness",NA
"15","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FHP 3500","Exercises for Special Populations",NA
"16","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FHP 2440","Fitness Assessment & Training",NA
"17","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FHP 2421","Career Development",NA
"18","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FHP 2316","Exercise Physiology",NA
"19","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FHP 1402","Fitness Assessment & Training 2",NA
"20","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","HEA 2030","MSK Therapeutic Exercise",NA
"21","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FHP 1400","Event Management",NA
"22","Cambrian College of Applied Arts and Technology","Fitness and Health Promotion","https://cambriancollege.ca/programs/fitness-and-health-promotion/","FHP 1403","Field Placement",NA
