"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","ENG 1002","College Communications",NA
"2","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","POL 1500","Canadian Political Studies",NA
"3","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","PSY 1050","Introduction To Psychology I",NA
"4","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","SSC 1002","Thinking, Reasoning, Relating",NA
"5","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","MTH 1003","Math I",NA
"6","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","MTH 1050","Algebra I",NA
"7","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","MTH 1113","Pre Health Math I",NA
"8","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","MTH 1126","Essentials of Mathematics",NA
"9","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","MTH 1172","Mathematics for Trades & Tech. I",NA
"10","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","ENG 3201","Academic Research and Writing",NA
"11","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","SOC 1010","Cross-Cultural Understanding",NA
"12","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","POL 2000","Modern Civilizations",NA
"13","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","PSY 1060","Introductory Psychology II",NA
"14","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","SOC 1000","Introduction To Sociology",NA
"15","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","SSC 1205","Modes of Reasoning",NA
"16","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","ENG 3335","Advanced Research Writing",NA
"17","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","SOC 1007","Introduction to Indigenous Studies",NA
"18","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","SOC 1301","Introduction to Sociology II",NA
"19","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","PSY 1125","Positive Psychology",NA
"20","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","PSY 1135","Issues in Developmental Psychology",NA
"21","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","ECE 1024","Child Growth and Development",NA
"22","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","WES 2330","Family Dynamics",NA
"23","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","ENG 3446","World Literature",NA
"24","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","ANT 1002","Diversity and Inclusion",NA
"25","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","ANT 1004","World Religions & Spirituality",NA
"26","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","SOC 1012","Truth and Reconciliation",NA
"27","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","SOC 1015","Indigenous Arts and Film",NA
"28","Cambrian College of Applied Arts and Technology","General Arts and Science Diploma","https://cambriancollege.ca/programs/general-arts-science-college-exploration/","SOC 1017","Indigenous Culture/Celebration",NA
