"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","General Arts and Science – English for Academic Purposes","https://cambriancollege.ca/programs/general-artsscience-english-for-academic-purposes/","ESL 1012","Reading for Academic Purposes I",NA
"2","Cambrian College of Applied Arts and Technology","General Arts and Science – English for Academic Purposes","https://cambriancollege.ca/programs/general-artsscience-english-for-academic-purposes/","ESL 1013","Writing for Academic Purposes I",NA
"3","Cambrian College of Applied Arts and Technology","General Arts and Science – English for Academic Purposes","https://cambriancollege.ca/programs/general-artsscience-english-for-academic-purposes/","ESL 1014","Oral Communication for Academic Purposes I",NA
"4","Cambrian College of Applied Arts and Technology","General Arts and Science – English for Academic Purposes","https://cambriancollege.ca/programs/general-artsscience-english-for-academic-purposes/","ESL 1015","Canadian Perspectives I",NA
"5","Cambrian College of Applied Arts and Technology","General Arts and Science – English for Academic Purposes","https://cambriancollege.ca/programs/general-artsscience-english-for-academic-purposes/","ESL 1016","Introduction to Computer Applications",NA
"6","Cambrian College of Applied Arts and Technology","General Arts and Science – English for Academic Purposes","https://cambriancollege.ca/programs/general-artsscience-english-for-academic-purposes/","ESL 1017","Reading for Academic Purposes II",NA
"7","Cambrian College of Applied Arts and Technology","General Arts and Science – English for Academic Purposes","https://cambriancollege.ca/programs/general-artsscience-english-for-academic-purposes/","ESL 1018","Writing for Academic Purposes II",NA
"8","Cambrian College of Applied Arts and Technology","General Arts and Science – English for Academic Purposes","https://cambriancollege.ca/programs/general-artsscience-english-for-academic-purposes/","ESL 1019","Oral Communication for Academic Purposes II",NA
"9","Cambrian College of Applied Arts and Technology","General Arts and Science – English for Academic Purposes","https://cambriancollege.ca/programs/general-artsscience-english-for-academic-purposes/","ESL 1020","Canadian Perspectives II",NA
"10","Cambrian College of Applied Arts and Technology","General Arts and Science – English for Academic Purposes","https://cambriancollege.ca/programs/general-artsscience-english-for-academic-purposes/","ESL 1021","Student Success for Higher Learning",NA
