"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 1006","Digital Design I",NA
"2","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 1106","Design Foundations I",NA
"3","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 1230","Intro Graphic Design",NA
"4","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 2356","Graphic Design Photography I",NA
"5","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","HST 1002","History of Graphic Design",NA
"6","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 1240","Design Foundations II",NA
"7","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 1246","Copywriting I",NA
"8","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 2346","Typography I",NA
"9","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 2351","Digital Design II",NA
"10","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 2456","Graphic Design Photography II",NA
"11","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","HST 1003","History of Graphic Design II",NA
"12","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ADV 1001","Advertising Design I",NA
"13","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 1001","Screen Printing I",NA
"14","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 1345","Copywriting II",NA
"15","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 2305","Illustration I",NA
"16","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 2310","Production Fundamentals I",NA
"17","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 2360","Website Design I",NA
"18","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 2375","Typography II",NA
"19","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 2496","Digital Design III",NA
"20","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ADV 1002","Advertising Design II",NA
"21","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 1007","Editorial Design",NA
"22","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 1002","Screen Printing II",NA
"23","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 2415","Production Fundamentals II",NA
"24","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 2416","Illustration II",NA
"25","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 2461","Website Design II",NA
"26","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 3518","Sustainable Design",NA
"27","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 3570","Professional Practices",NA
"28","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 1003","Website Design III",NA
"29","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 3515","Visual Identity",NA
"30","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 3556","Graphic Design Photography III",NA
"31","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 3566","Advanced Design Applications",NA
"32","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 3595","Work Placement",NA
"33","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 1004","Motion Graphics",NA
"34","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 3611","Portfolio Preparation",NA
"35","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 3685","Website Design IV",NA
"36","Cambrian College of Applied Arts and Technology","Graphic Design","https://cambriancollege.ca/programs/graphic-design/","ART 3690","Creative Thesis Project",NA
