"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Health Analytics – Graduate Certificate","https://cambriancollege.ca/programs/health-analytics/","HEA 1031","Canadian Health System - Ethical, Legislation, and Regulatory Considerations",NA
"2","Cambrian College of Applied Arts and Technology","Health Analytics – Graduate Certificate","https://cambriancollege.ca/programs/health-analytics/","DBA 1000","Database Mgmt & Warehousing",NA
"3","Cambrian College of Applied Arts and Technology","Health Analytics – Graduate Certificate","https://cambriancollege.ca/programs/health-analytics/","EXL 1002","Dashboards and Data Analysis",NA
"4","Cambrian College of Applied Arts and Technology","Health Analytics – Graduate Certificate","https://cambriancollege.ca/programs/health-analytics/","QMM 1001","Statistics for Data Analytics",NA
"5","Cambrian College of Applied Arts and Technology","Health Analytics – Graduate Certificate","https://cambriancollege.ca/programs/health-analytics/","ANA 1000","Foundations of Data Analytics",NA
"6","Cambrian College of Applied Arts and Technology","Health Analytics – Graduate Certificate","https://cambriancollege.ca/programs/health-analytics/","ANA 1001","Programming for Analytics",NA
"7","Cambrian College of Applied Arts and Technology","Health Analytics – Graduate Certificate","https://cambriancollege.ca/programs/health-analytics/","HEA 1044","Introduction to Epidemiology",NA
"8","Cambrian College of Applied Arts and Technology","Health Analytics – Graduate Certificate","https://cambriancollege.ca/programs/health-analytics/","HEA 1041","Applications of Health Data",NA
"9","Cambrian College of Applied Arts and Technology","Health Analytics – Graduate Certificate","https://cambriancollege.ca/programs/health-analytics/","HEA 1035","Data Mining for Health Analyst",NA
"10","Cambrian College of Applied Arts and Technology","Health Analytics – Graduate Certificate","https://cambriancollege.ca/programs/health-analytics/","BTA 1013","Communicating with Data",NA
"11","Cambrian College of Applied Arts and Technology","Health Analytics – Graduate Certificate","https://cambriancollege.ca/programs/health-analytics/","QMM 1002","Stats and Data Visualization",NA
"12","Cambrian College of Applied Arts and Technology","Health Analytics – Graduate Certificate","https://cambriancollege.ca/programs/health-analytics/","HEA 1032","Health Data Acquisition & Management I",NA
"13","Cambrian College of Applied Arts and Technology","Health Analytics – Graduate Certificate","https://cambriancollege.ca/programs/health-analytics/","HEA 1050","Capstone Research Project",NA
