"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","ELC 1120","Electrical & Electronics I 1",NA
"2","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","HDM 1161","Trade Practices & Applications I 1",NA
"3","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","HDM 1170","Diesel Engines 1",NA
"4","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","MTH 1010","Trade Math I",NA
"5","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","ENG 1002","College Communications",NA
"6","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","HDM 1221","Hydraulics 1",NA
"7","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","HDM 1230","Fuel Systems 1",NA
"8","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","SSB 1100","Suspen/Steer/Brake Sys I Pneumatics 1",NA
"9","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","PWT 1210","Power Train Systems 1",NA
"10","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","WLD 1105","Welding and Oxyacetylene",NA
"11","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","ELC 2300","Electrical & Electronics II 1",NA
"12","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","ENG 1780","Applied Communication II",NA
"13","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","HDM 2320","Diesel Engines III 1",NA
"14","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","HDM 2341","Heavy Duty Brakes 1",NA
"15","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","HDM 2401","Diesel Engines Systems IV 1",NA
"16","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","HYS 2300","Hydraulic Systems I 1",NA
"17","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","DFS 2300","Diesel Fuel Injection Systems I 1",NA
"18","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","DFS 2400","Diesel Fuel Injection Systems II 1",NA
"19","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","ELC 2400","Electrical & Electronics III 1",NA
"20","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","HYS 2400","Hydraulic Systems II 1",NA
"21","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","PWT 2300","Power Trains Systems III 1",NA
"22","Cambrian College of Applied Arts and Technology","Heavy Equipment Technician","https://cambriancollege.ca/programs/heavy-equipment-technician/","PWT 2400","Power Trains Systems IV 1",NA
