"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Human Resources Management – Graduate Certificate","https://cambriancollege.ca/programs/human-resources-management/","HRP 7101","Applied Mediation Skills - ADR",NA
"2","Cambrian College of Applied Arts and Technology","Human Resources Management – Graduate Certificate","https://cambriancollege.ca/programs/human-resources-management/","HRP 7106","Organizational Behaviour",NA
"3","Cambrian College of Applied Arts and Technology","Human Resources Management – Graduate Certificate","https://cambriancollege.ca/programs/human-resources-management/","HRP 7110","Human Resources Management",NA
"4","Cambrian College of Applied Arts and Technology","Human Resources Management – Graduate Certificate","https://cambriancollege.ca/programs/human-resources-management/","HRP 7120","Occupational Health And Safety",NA
"5","Cambrian College of Applied Arts and Technology","Human Resources Management – Graduate Certificate","https://cambriancollege.ca/programs/human-resources-management/","HRP 7130","Applied HR Practices I",NA
"6","Cambrian College of Applied Arts and Technology","Human Resources Management – Graduate Certificate","https://cambriancollege.ca/programs/human-resources-management/","HRP 7211","Staffing",NA
"7","Cambrian College of Applied Arts and Technology","Human Resources Management – Graduate Certificate","https://cambriancollege.ca/programs/human-resources-management/","ACC 7300","Accounting for Non-Financial Managers",NA
"8","Cambrian College of Applied Arts and Technology","Human Resources Management – Graduate Certificate","https://cambriancollege.ca/programs/human-resources-management/","HRP 7115","Training and Development",NA
"9","Cambrian College of Applied Arts and Technology","Human Resources Management – Graduate Certificate","https://cambriancollege.ca/programs/human-resources-management/","HRP 7205","Compensation Management",NA
"10","Cambrian College of Applied Arts and Technology","Human Resources Management – Graduate Certificate","https://cambriancollege.ca/programs/human-resources-management/","HRP 7210","Human Resource Planning",NA
"11","Cambrian College of Applied Arts and Technology","Human Resources Management – Graduate Certificate","https://cambriancollege.ca/programs/human-resources-management/","HRP 7215","Labour Relations",NA
"12","Cambrian College of Applied Arts and Technology","Human Resources Management – Graduate Certificate","https://cambriancollege.ca/programs/human-resources-management/","HRP 7230","Applied HR Practices II",NA
"13","Cambrian College of Applied Arts and Technology","Human Resources Management – Graduate Certificate","https://cambriancollege.ca/programs/human-resources-management/","HRP 7301","Field Placement",NA
