"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","IT Business Analysis – Graduate Certificate","https://cambriancollege.ca/programs/i-t-business-analysis/","BTA 1002","Foundations of B.A.",NA
"2","Cambrian College of Applied Arts and Technology","IT Business Analysis – Graduate Certificate","https://cambriancollege.ca/programs/i-t-business-analysis/","BTA 1003","Requirements Elicitation",NA
"3","Cambrian College of Applied Arts and Technology","IT Business Analysis – Graduate Certificate","https://cambriancollege.ca/programs/i-t-business-analysis/","BUS 1081","Proposal Writing",NA
"4","Cambrian College of Applied Arts and Technology","IT Business Analysis – Graduate Certificate","https://cambriancollege.ca/programs/i-t-business-analysis/","HRP 7106","Organizational Behaviour",NA
"5","Cambrian College of Applied Arts and Technology","IT Business Analysis – Graduate Certificate","https://cambriancollege.ca/programs/i-t-business-analysis/","STY 1001","Software Engineering Concepts",NA
"6","Cambrian College of Applied Arts and Technology","IT Business Analysis – Graduate Certificate","https://cambriancollege.ca/programs/i-t-business-analysis/","DBA 1001","Database Concepts/Big Data",NA
"7","Cambrian College of Applied Arts and Technology","IT Business Analysis – Graduate Certificate","https://cambriancollege.ca/programs/i-t-business-analysis/","ACC 7300","Accounting for Non-Financial Managers",NA
"8","Cambrian College of Applied Arts and Technology","IT Business Analysis – Graduate Certificate","https://cambriancollege.ca/programs/i-t-business-analysis/","BTA 1004","Business Process Mapping",NA
"9","Cambrian College of Applied Arts and Technology","IT Business Analysis – Graduate Certificate","https://cambriancollege.ca/programs/i-t-business-analysis/","PRM 1000","Project Management",NA
"10","Cambrian College of Applied Arts and Technology","IT Business Analysis – Graduate Certificate","https://cambriancollege.ca/programs/i-t-business-analysis/","SYS 1003","Enterprise Architecture",NA
"11","Cambrian College of Applied Arts and Technology","IT Business Analysis – Graduate Certificate","https://cambriancollege.ca/programs/i-t-business-analysis/","STY 1000","Software Testing Fundamentals",NA
"12","Cambrian College of Applied Arts and Technology","IT Business Analysis – Graduate Certificate","https://cambriancollege.ca/programs/i-t-business-analysis/","SYS 1004","Enterprise Systems",NA
"13","Cambrian College of Applied Arts and Technology","IT Business Analysis – Graduate Certificate","https://cambriancollege.ca/programs/i-t-business-analysis/","BTA 1009or BTA 1014","Work Placementor Capstone Course",NA
