"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 1116","Tools, Materials & Fasteners 1",NA
"2","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 1151","Industrial Indoctrination & Safety",NA
"3","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 1156","Technical Drawing & Schematics",NA
"4","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 1160","Precision Measuring Equipment",NA
"5","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 1177","Millwright Machining I 1",NA
"6","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 2411","Rigging and Hoist 1",NA
"7","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","WLD 1100","Welding I 1",NA
"8","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","ENG 1002","College Communications",NA
"9","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 1246","Bearing Seals & Lubrication 1",NA
"10","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 1251","Power Transmission Systems 1",NA
"11","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 1265","Electric & Electronic Controls I 1",NA
"12","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 1275","Millwright Machining II 1",NA
"13","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 2580","Technical Drawings & Schematics II",NA
"14","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","WLD 1200","Welding II 1",NA
"15","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","ENG 1780","Applied Communication II",NA
"16","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 1255","Material Handling System 1",NA
"17","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 2440","Machine Installation 1",NA
"18","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 2450","Fluid Power I 1",NA
"19","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 2460","Electrical & Electronic Controls II 1",NA
"20","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 2475","Millwright Machining III 1",NA
"21","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","WLD 2400","Welding III 1",NA
"22","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","CAD 1100","Computer-Aided Drafting I",NA
"23","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 2446","Pumps, Valves & Piping 1",NA
"24","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 2537","Proact. Prevent. & Predictive Maint 1",NA
"25","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 2550","Set-up and Use Machine Tools IV 1",NA
"26","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 2556","Fluid Power II 1",NA
"27","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 2570","Industrial Automated Control 1",NA
"28","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","IMM 2575","Prime Movers and Machinery",NA
"29","Cambrian College of Applied Arts and Technology","Industrial Mechanical Millwright Technician","https://cambriancollege.ca/programs/industrial-mechanical-millwright-technician/","WLD 2500","Welding & Fabrication 1",NA
