"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Magnetic Resonance Imaging (MRI) – Graduate Certificate","https://cambriancollege.ca/programs/magnetic-resonance-imaging-mri/","MRI 1000","Abd/Thorax/Pelvis/MSK",NA
"2","Cambrian College of Applied Arts and Technology","Magnetic Resonance Imaging (MRI) – Graduate Certificate","https://cambriancollege.ca/programs/magnetic-resonance-imaging-mri/","MRI 1002","MRI Techniques & Clinical Applications",NA
"3","Cambrian College of Applied Arts and Technology","Magnetic Resonance Imaging (MRI) – Graduate Certificate","https://cambriancollege.ca/programs/magnetic-resonance-imaging-mri/","MRI 1012","Head/Neck/Spinal Column/MSK",NA
"4","Cambrian College of Applied Arts and Technology","Magnetic Resonance Imaging (MRI) – Graduate Certificate","https://cambriancollege.ca/programs/magnetic-resonance-imaging-mri/","MRI 1004","Physical Properties/Principles MRI",NA
"5","Cambrian College of Applied Arts and Technology","Magnetic Resonance Imaging (MRI) – Graduate Certificate","https://cambriancollege.ca/programs/magnetic-resonance-imaging-mri/","MRI 1005","MRI Procedures",NA
"6","Cambrian College of Applied Arts and Technology","Magnetic Resonance Imaging (MRI) – Graduate Certificate","https://cambriancollege.ca/programs/magnetic-resonance-imaging-mri/","MRI 1009","MRI Patient Care and Safety",NA
"7","Cambrian College of Applied Arts and Technology","Magnetic Resonance Imaging (MRI) – Graduate Certificate","https://cambriancollege.ca/programs/magnetic-resonance-imaging-mri/","MRI 1011","MRI Pathology",NA
"8","Cambrian College of Applied Arts and Technology","Magnetic Resonance Imaging (MRI) – Graduate Certificate","https://cambriancollege.ca/programs/magnetic-resonance-imaging-mri/","MRI 1010","MRI Clinical Preparedness",NA
"9","Cambrian College of Applied Arts and Technology","Magnetic Resonance Imaging (MRI) – Graduate Certificate","https://cambriancollege.ca/programs/magnetic-resonance-imaging-mri/","MRI 1007","Comprehensive Review",NA
"10","Cambrian College of Applied Arts and Technology","Magnetic Resonance Imaging (MRI) – Graduate Certificate","https://cambriancollege.ca/programs/magnetic-resonance-imaging-mri/","MRI 1013","MRI Clinical Practicum",NA
