"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","ENG 1002","College Communications",NA
"2","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MEC 1003","Engineering Materials",NA
"3","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MTH 1050","Algebra I",NA
"4","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","PHY 1112","Physical Principles",NA
"5","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MEC 1002","Introduction to Metrology and Geometric Dimensioning",NA
"6","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","CAD 1001","Engineering Graphics",NA
"7","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","ENG 1754","Technical Communication",NA
"8","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MTH 1250","Algebra II",NA
"9","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","PHY 1212","Physical Principles 2",NA
"10","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MCH 1207","Fluid Mechanics",NA
"11","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","ELC 1013","Electrical Fundamentals",NA
"12","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MCH 1165","Industrial Design 1",NA
"13","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","CAD 1003","Solid Modeling",NA
"14","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MCH 1153","Mechanical Lab 1",NA
"15","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","CAD 1200","Computer Aided Drafting II",NA
"16","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MTH 2325","Technical Math III",NA
"17","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","INT 1001","Instrumentation I",NA
"18","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MCH 1301","Dynamics of Machines",NA
"19","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MCH 1303","Strength of Materials",NA
"20","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MCH 1365","Industrial Design 2",NA
"21","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","CAD 1004","Advanced Solid Modelling",NA
"22","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MCH 1401","Advanced Structural Design",NA
"23","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MCH 1402","Materials and Processes",NA
"24","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MCH 1404","Mechanical Project Management",NA
"25","Cambrian College of Applied Arts and Technology","Mechanical Engineering Technician","https://cambriancollege.ca/programs/mechanical-engineering-technician/","MCH 1410","Codes and Standards",NA
