"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","TEM 1001","Trade Calculations I",NA
"2","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","TEM 1004","Mechanical Drawings Lab",NA
"3","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","TEM 1005","Workshop Technology I 1",NA
"4","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","MTM 1000","Machine Practices I",NA
"5","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","TEM 1100","Information Technology",NA
"6","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","ENG 1002","College Communications",NA
"7","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","TEM 1103","Workshop Technology II 1",NA
"8","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","TEM 1104","Trade Calculations II",NA
"9","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","TEM 1108","Programming/Operations I 1",NA
"10","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","TEM 1200","Machining Practices II",NA
"11","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","TEM 1210","Mechanical Drawings II",NA
"12","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","MTM 1001","Programming/Operations II Lab 1",NA
"13","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","MTM 1002","Workshop Technology III 1",NA
"14","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","MTM 2325","Machining Operations",NA
"15","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","MTM 2330","Jigs and Fixtures",NA
"16","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","MTM 2335","Design and Calculations",NA
"17","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","ENG 1780","Applied Communication II",NA
"18","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","MTM 1003","Manufacturing Processes 1",NA
"19","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","MTM 2420","CAD Lab",NA
"20","Cambrian College of Applied Arts and Technology","Mechanical Technician – Manufacturing / Machining","https://cambriancollege.ca/programs/mechanical-technician-manufacturing-machining/","MTM 1004","Manufacturing/Machining Lab 1",NA
