"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","ENG 1121","Research & Writing/Health Sciences",NA
"2","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1024","Principles and Practice I",NA
"3","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","CHM 1021","Clinical Chemistry I",NA
"4","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1009","Immunology",NA
"5","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1020","Quality",NA
"6","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1021","Laboratory Safety",NA
"7","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1026","MLT Medical Terminology",NA
"8","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","BIO 1017","Clinical Microbiology I",NA
"9","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","CHM 1004","Clinical Chemistry II",NA
"10","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1010","Molecular Techniques",NA
"11","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1011","Principles & Practice II",NA
"12","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1013","Clinical Hematology I",NA
"13","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1027","MLT Micro and Gross Anatomy",NA
"14","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","BIO 1012","Clinical Microbiology II",NA
"15","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","CHM 1006","Clinical Chemistry III",NA
"16","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1015","Clinical Hematology II",NA
"17","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1028","Histotechnology I",NA
"18","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1025","Transfusion Science I",NA
"19","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","BIO 1013","Clinical Microbiology III",NA
"20","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","CHM 1007","Clinical Chemistry IV",NA
"21","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1017","Transfusion Science II",NA
"22","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1019","Clinical Hematology III",NA
"23","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1029","Histotechnology II",NA
"24","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 3560","Clinical Transfusion Science 1",NA
"25","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 3562","Clinical Chemistry 1",NA
"26","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 3564","Clinical Hematology 1",NA
"27","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 3566","Clinical Microbiology 1",NA
"28","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 3568","Clinical Histotechnology 1",NA
"29","Cambrian College of Applied Arts and Technology","Medical Laboratory Technology","https://cambriancollege.ca/programs/medical-laboratory-technology/","MLT 1023","Comprehensive Exam Review",NA
