"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","ENG 1002","College Communications",NA
"2","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","GEO 1100","Geology I 1",NA
"3","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","MNG 1100","Introduction to Mining 1",NA
"4","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","MTH 1050","Algebra I",NA
"5","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","SUR 1115","Surveying I 1",NA
"6","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","CHM 1206","Chemistry for the Geosciences 1",NA
"7","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","CAD 1001","Engineering Graphics",NA
"8","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","ENG 1754","Technical Communication",NA
"9","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","GEO 1200","Geology II 1",NA
"10","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","MNG 1014","Mineral Resources Field Camp 1",NA
"11","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","MNG 1200","Mining Methods",NA
"12","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","MTH 1250","Algebra II",NA
"13","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","SUR 1225","Mine Surveying 1",NA
"14","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","GEO 2305","Geological Field & Data Collection 1",NA
"15","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","GEO 2307","Digital Map Making",NA
"16","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","MNG 2335","Mine Layouts and Planning",NA
"17","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","MTH 2325","Technical Math III",NA
"18","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","GEO 2311","Exploration Geophysics 1",NA
"19","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","MNG 1019","Maintenance Planning",NA
"20","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","GEO 2420","Intro To Structural Geology 1",NA
"21","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","MNG 1015","Ground Control 1",NA
"22","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","MNG 2300","Mine Blasting Techniques 1",NA
"23","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","MNG 2310","Mine Ventilation",NA
"24","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","CHM 1109","Mineral Processing",NA
"25","Cambrian College of Applied Arts and Technology","Mining Engineering Technician","https://cambriancollege.ca/programs/mining-engineering-technician/","GEO 2434","Mineral Resource Evaluation 1",NA
