"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Mobile Application Development – Graduate Certificate","https://cambriancollege.ca/programs/mobile-application-development/","ENT 1005","Entrepreneurship in Information Technology",NA
"2","Cambrian College of Applied Arts and Technology","Mobile Application Development – Graduate Certificate","https://cambriancollege.ca/programs/mobile-application-development/","ISP 1002","iOS Development using Swift",NA
"3","Cambrian College of Applied Arts and Technology","Mobile Application Development – Graduate Certificate","https://cambriancollege.ca/programs/mobile-application-development/","JAV 1001","Android Development using Java",NA
"4","Cambrian College of Applied Arts and Technology","Mobile Application Development – Graduate Certificate","https://cambriancollege.ca/programs/mobile-application-development/","STY 1211","Database Design",NA
"5","Cambrian College of Applied Arts and Technology","Mobile Application Development – Graduate Certificate","https://cambriancollege.ca/programs/mobile-application-development/","WEB 1001","Responsive Web Development for Currency",NA
"6","Cambrian College of Applied Arts and Technology","Mobile Application Development – Graduate Certificate","https://cambriancollege.ca/programs/mobile-application-development/","BUS 1061","Placement Preparation",NA
"7","Cambrian College of Applied Arts and Technology","Mobile Application Development – Graduate Certificate","https://cambriancollege.ca/programs/mobile-application-development/","CMP 1000","Programming: Hands-on iOS Development",NA
"8","Cambrian College of Applied Arts and Technology","Mobile Application Development – Graduate Certificate","https://cambriancollege.ca/programs/mobile-application-development/","CMP 1005","Mobile Web: PHP and MySQL",NA
"9","Cambrian College of Applied Arts and Technology","Mobile Application Development – Graduate Certificate","https://cambriancollege.ca/programs/mobile-application-development/","ISP 1003","Mobile Infrastructure: Introduction to Enterprise",NA
"10","Cambrian College of Applied Arts and Technology","Mobile Application Development – Graduate Certificate","https://cambriancollege.ca/programs/mobile-application-development/","ISP 1004","Hands-on Android Development",NA
"11","Cambrian College of Applied Arts and Technology","Mobile Application Development – Graduate Certificate","https://cambriancollege.ca/programs/mobile-application-development/","PRM 1000","Project Management",NA
"12","Cambrian College of Applied Arts and Technology","Mobile Application Development – Graduate Certificate","https://cambriancollege.ca/programs/mobile-application-development/","BUS 1062","Field Placement",NA
