"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","APP 1101","Trades Practice & Applications I 1",NA
"2","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","MTH 1205","Computer Methods - Trades Software 1",NA
"3","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","DTS 1141","Drive Train Systems I 1",NA
"4","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","SSB 1151","Steering/Suspension/Brakes I 1",NA
"5","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","ENG 1002","College Communications",NA
"6","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","ELC 1217","Electrical & Electronics I 1",NA
"7","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","MOT 1000","Gas Engines I 1",NA
"8","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","FLS 1000","Basic Fuel System & Fuel Manag 1",NA
"9","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","APP 1000","Repairer s Rights and Responsibilities 1",NA
"10","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","ELC 2303","Electrical Systems & Electronics 1",NA
"11","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","ENG 1780","Applied Communication II",NA
"12","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","MOT 1002","Gas Engines II 1",NA
"13","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","PWT 2305","Power Train Controls II 1",NA
"14","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","DTS 2401","Drive Train System II 1",NA
"15","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","EFI 2401","Electronic Fuel Injection Systems 1",NA
"16","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","PRS 1430","Personal Relations Skill & Attitude 1",NA
"17","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","SSB 1411","Steering/Suspension/ABS Brakes 1",NA
"18","Cambrian College of Applied Arts and Technology","Motive Power Technician – Service and Management – Automotive","https://cambriancollege.ca/programs/motive-power-technician-service-and-management/","ICE 1000","Air Conditioning Systems 4RS 1",NA
