"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","ENG 1002","College Communications",NA
"2","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1010","History I",NA
"3","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1117","String Class I",NA
"4","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1200","Theory I",NA
"5","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","PSY 1160","Performance Psychology",NA
"6","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1611","Class Piano I Minor",NA
"7","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","ENG 2305","Business & Employment Correspondence",NA
"8","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1020","History II",NA
"9","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1217","String Class II",NA
"10","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1250","Theory II",NA
"11","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1661","Class Piano II Minor",NA
"12","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1114","Winds Class I",NA
"13","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 2200","Theory III",NA
"14","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 2311","Pedagogy I",NA
"15","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 2312","Conducting I",NA
"16","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1030","History III",NA
"17","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1214","Winds Class II",NA
"18","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 2250","Theory IV",NA
"19","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 2351","Music Pedagogy II",NA
"20","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 2412","Conducting II",NA
"21","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1003","Percussion Class I",NA
"22","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1040","History IV",NA
"23","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 3003","The Business Of Music I",NA
"24","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 3200","Theory V",NA
"25","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 3311","Pedagogy III",NA
"26","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1004","Percussion Class II",NA
"27","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 1216","Guitar Class",NA
"28","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 3004","The Business Of Music II",NA
"29","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 3250","Theory VI",NA
"30","Cambrian College of Applied Arts and Technology","Music – Performance","https://cambriancollege.ca/programs/music-performance/","MUS 3351","Music Pedagogy IV",NA
