"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Organization Management – Graduate Certificate","https://cambriancollege.ca/programs/organization-management/","ACC 7300","Accounting for Non-Financial Managers",NA
"2","Cambrian College of Applied Arts and Technology","Organization Management – Graduate Certificate","https://cambriancollege.ca/programs/organization-management/","MOG 1001","Managerial Economics",NA
"3","Cambrian College of Applied Arts and Technology","Organization Management – Graduate Certificate","https://cambriancollege.ca/programs/organization-management/","MOG 1002","Financial Decision Making",NA
"4","Cambrian College of Applied Arts and Technology","Organization Management – Graduate Certificate","https://cambriancollege.ca/programs/organization-management/","MOG 1003","Managerial Communications",NA
"5","Cambrian College of Applied Arts and Technology","Organization Management – Graduate Certificate","https://cambriancollege.ca/programs/organization-management/","MOG 1004","Business Ethics and CSR",NA
"6","Cambrian College of Applied Arts and Technology","Organization Management – Graduate Certificate","https://cambriancollege.ca/programs/organization-management/","MOG 1005","Organizational Behavior & HRM",NA
"7","Cambrian College of Applied Arts and Technology","Organization Management – Graduate Certificate","https://cambriancollege.ca/programs/organization-management/","MOG 1006","Marketing Strategy",NA
"8","Cambrian College of Applied Arts and Technology","Organization Management – Graduate Certificate","https://cambriancollege.ca/programs/organization-management/","MOG 1007","Data Analysis Using Excel",NA
"9","Cambrian College of Applied Arts and Technology","Organization Management – Graduate Certificate","https://cambriancollege.ca/programs/organization-management/","MOG 1008","Business Strategy",NA
"10","Cambrian College of Applied Arts and Technology","Organization Management – Graduate Certificate","https://cambriancollege.ca/programs/organization-management/","MOG 1009","New Venture Creation",NA
"11","Cambrian College of Applied Arts and Technology","Organization Management – Graduate Certificate","https://cambriancollege.ca/programs/organization-management/","MOG 1010","Negotiation and Leadership",NA
"12","Cambrian College of Applied Arts and Technology","Organization Management – Graduate Certificate","https://cambriancollege.ca/programs/organization-management/","MOG 1011","Legal Aspects of Business",NA
