"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","ENG 1002","College Communications",NA
"2","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","LAW 1010","Canadian Criminal Justice",NA
"3","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","FIT 1510","Physical Fitness and Wellness",NA
"4","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PFP 1065","Community Policing I",NA
"5","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","POL 1500","Canadian Political Studies",NA
"6","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PSY 1050","Introduction To Psychology I",NA
"7","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","SOC 1000","Introduction To Sociology",NA
"8","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","ENG 1126","Commun. Skills/Justice Students I",NA
"9","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","FIT 1501","Physical Fitness & Wellness II",NA
"10","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","LAW 1105","Ethics & Diversity Issues",NA
"11","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","LAW 3050","Youth In Conflict With Law",NA
"12","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PFP 3010","Criminal And Civil Law",NA
"13","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PSY 1106","Interpersonal & Tactical Response",NA
"14","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","FIT 1502","Physical Fit & Wellness III",NA
"15","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PFP 3020","Criminal Code",NA
"16","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PFP 3030","Police Powers",NA
"17","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PFP 3040","Interviewing And Investigation",NA
"18","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PFP 3065","Community Policing II",NA
"19","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PSY 1003","Concurrent Disorders, Mental Health & Addictions",NA
"20","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","SOC 1210","Introduction To Criminology",NA
"21","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","FIT 1503","Physical Fitness & Wellness IV",NA
"22","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PFP 1000","Career Options in Policing",NA
"23","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PFP 4010","Provincial Offences",NA
"24","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PFP 4020","Criminal Code And Federal Statutes",NA
"25","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PFP 4040","Investigations And Evidence",NA
"26","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PFP 4050","Conflict Management",NA
"27","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PFP 4065","Community Policing III",NA
"28","Cambrian College of Applied Arts and Technology","Police Foundations","https://cambriancollege.ca/programs/police-foundations/","PFP 4070","Traffic Management I & II",NA
