"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 1108","Power Plant Operation I 1",NA
"2","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 1115","Applied Science",NA
"3","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 1007","Boilers & Auxiliaries I",NA
"4","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 1126","Safety & Administration I",NA
"5","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 1225","Electricity & Control Systems I",NA
"6","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","ENG 1002","College Communications",NA
"7","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 1220","Heating, Refrig./Gas Compression I",NA
"8","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 1231","Power Plant Operations II 1",NA
"9","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 1002","Field Placement I",NA
"10","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 1008","Prime Movers I",NA
"11","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 1215","Applied Chemistry I",NA
"12","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 1261","Building Systems",NA
"13","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 2325","Math, Physics & Thermodynamics",NA
"14","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 2330","Power Plant Operation III 1",NA
"15","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 2420","Electricity & Control Systems II",NA
"16","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 2430","Safety & Administration II",NA
"17","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","ENG 1754","Technical Communication",NA
"18","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 1003","Credential Validation I",NA
"19","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 2310","Applied Chemistry II",NA
"20","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 2315","Heating, Refrig. & Gas Comp. II",NA
"21","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 2321","Boilers and Auxiliaries II",NA
"22","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 2426","Prime Movers II",NA
"23","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 2442","Power Plant Operation IV 1",NA
"24","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 1006","Nuclear and Alternate Energy",NA
"25","Cambrian College of Applied Arts and Technology","Power Engineering Technician","https://cambriancollege.ca/programs/power-engineering-technician/","PEG 1004","Field Placement II",NA
