"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1108","Power Plant Operation I 1",NA
"2","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1225","Electricity & Control Systems I",NA
"3","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1115","Applied Science",NA
"4","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1007","Boilers & Auxiliaries I",NA
"5","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1126","Safety & Administration I",NA
"6","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","ENG 1002","College Communications",NA
"7","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1220","Heating, Refrig./Gas Compression I",NA
"8","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1231","Power Plant Operations II 1",NA
"9","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1008","Prime Movers I",NA
"10","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1215","Applied Chemistry I",NA
"11","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1002","Field Placement I",NA
"12","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1261","Building Systems",NA
"13","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1003","Credential Validation I",NA
"14","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","ENG 1754","Technical Communication",NA
"15","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 2325","Math, Physics & Thermodynamics",NA
"16","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 2330","Power Plant Operation III 1",NA
"17","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 2420","Electricity & Control Systems II",NA
"18","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 2430","Safety & Administration II",NA
"19","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 2310","Applied Chemistry II",NA
"20","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 2315","Heating, Refrig. & Gas Comp. II",NA
"21","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 2321","Boilers and Auxiliaries II",NA
"22","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 2426","Prime Movers II",NA
"23","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 2442","Power Plant Operation IV 1",NA
"24","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1004","Field Placement II",NA
"25","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1006","Nuclear and Alternate Energy",NA
"26","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1005","Credential Validation II",NA
"27","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 3541","Power Plant Operations V 1",NA
"28","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 3725","Power Plant Systems & Controls",NA
"29","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 3712","Fuels Combus. & Envir. Protection",NA
"30","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 3722","Electrotechnology",NA
"31","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 3715","Refrigeration & Gas Compression",NA
"32","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","TEC 3501","Technical Report Research",NA
"33","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 3641","Power Plant Operations VI 1",NA
"34","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1000","Applied Mechanics",NA
"35","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 3530","Indust. Admin & Code Calculations",NA
"36","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 3525","Thermodynamics",NA
"37","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","PEG 1001","Metallurgy & Testing of Materials",NA
"38","Cambrian College of Applied Arts and Technology","Power Engineering Technology","https://cambriancollege.ca/programs/power-engineering-technology/","TEC 3601","Technical Report",NA
