"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","CAD 1100","Computer-Aided Drafting I",NA
"2","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","ELC 1130","Electrical Theory and Wiring I 1",NA
"3","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","MTH 1152","Electrical Math I",NA
"4","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","HRP 1002","Job Search and Soft Skills",NA
"5","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","PLT 1100","Powerline Theory and Construction I 1",NA
"6","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","ENG 1002","College Communications",NA
"7","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","ELC 1230","Electrical Theory and Wiring II 1",NA
"8","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","MTH 1252","Electrical Math II",NA
"9","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","PLT 1101","Workplace Safety And The Law",NA
"10","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","PLT 1200","Powerline Theory & Construction II 1",NA
"11","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","ELC 2335","Electrical Theory and Wiring III 1",NA
"12","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","ENG 1780","Applied Communication II",NA
"13","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","MTH 2352","Electrical Math III",NA
"14","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","PLT 2300","Powerline Theory & Construction III 1",NA
"15","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","PLT 2350","Computer Aided Drafting II",NA
"16","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","ELC 2435","Electrical Theory and Wiring IV 1",NA
"17","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","PLT 2400","Powerline Theory & Construction IV 1",NA
"18","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","PLT 2405","Transformer & Metering Theory 1",NA
"19","Cambrian College of Applied Arts and Technology","Powerline Technician","https://cambriancollege.ca/programs/powerline-technician/","PRT 1003","Physics for Trades and Tech",NA
