"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://cambriancollege.ca/programs/pre-health-sciences/","BIO 1003","Biology I",NA
"2","Cambrian College of Applied Arts and Technology","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://cambriancollege.ca/programs/pre-health-sciences/","CHM 1106","Science Chemistry I 1",NA
"3","Cambrian College of Applied Arts and Technology","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://cambriancollege.ca/programs/pre-health-sciences/","ENG 1006","Technical Reading & Writing for the Health Science",NA
"4","Cambrian College of Applied Arts and Technology","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://cambriancollege.ca/programs/pre-health-sciences/","HLP 1013","Exploring Careers Health Science",NA
"5","Cambrian College of Applied Arts and Technology","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://cambriancollege.ca/programs/pre-health-sciences/","MTH 1113","Pre Health Math I",NA
"6","Cambrian College of Applied Arts and Technology","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://cambriancollege.ca/programs/pre-health-sciences/","PHY 1031","Health Science Physics I",NA
"7","Cambrian College of Applied Arts and Technology","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://cambriancollege.ca/programs/pre-health-sciences/","BIO 1010","Biology II",NA
"8","Cambrian College of Applied Arts and Technology","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://cambriancollege.ca/programs/pre-health-sciences/","CHM 1002","Physical Chemistry 1",NA
"9","Cambrian College of Applied Arts and Technology","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://cambriancollege.ca/programs/pre-health-sciences/","CHM 1003","Organic and Biological Chemistry 1",NA
"10","Cambrian College of Applied Arts and Technology","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://cambriancollege.ca/programs/pre-health-sciences/","ENG 1121","Research & Writing/Health Sciences",NA
"11","Cambrian College of Applied Arts and Technology","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://cambriancollege.ca/programs/pre-health-sciences/","HSC 1005","Medical Terminology",NA
"12","Cambrian College of Applied Arts and Technology","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://cambriancollege.ca/programs/pre-health-sciences/","MTH 1213","Advanced Pre-Health Math",NA
"13","Cambrian College of Applied Arts and Technology","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://cambriancollege.ca/programs/pre-health-sciences/","PHY 1002","Health Science Physics II",NA
