"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://cambriancollege.ca/programs/pre-service-firefighter-education-and-training/","FIT 1005","Firefighter Fitness",NA
"2","Cambrian College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://cambriancollege.ca/programs/pre-service-firefighter-education-and-training/","PSF 1003","Fire Theory I",NA
"3","Cambrian College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://cambriancollege.ca/programs/pre-service-firefighter-education-and-training/","PSF 1004","Fire Prevention",NA
"4","Cambrian College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://cambriancollege.ca/programs/pre-service-firefighter-education-and-training/","PSF 1005","Firefighter Skills I",NA
"5","Cambrian College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://cambriancollege.ca/programs/pre-service-firefighter-education-and-training/","PSF 1006","Firefighter Medical I",NA
"6","Cambrian College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://cambriancollege.ca/programs/pre-service-firefighter-education-and-training/","PSF 1007","Hazardous Materials I",NA
"7","Cambrian College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://cambriancollege.ca/programs/pre-service-firefighter-education-and-training/","PSY 1104","Interpersonal Comm. & Trauma Response",NA
"8","Cambrian College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://cambriancollege.ca/programs/pre-service-firefighter-education-and-training/","PSF 1008","Fire Theory II",NA
"9","Cambrian College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://cambriancollege.ca/programs/pre-service-firefighter-education-and-training/","PSF 1009","Hazardous Materials II",NA
"10","Cambrian College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://cambriancollege.ca/programs/pre-service-firefighter-education-and-training/","PSF 1011","Firefighter Medical II",NA
"11","Cambrian College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://cambriancollege.ca/programs/pre-service-firefighter-education-and-training/","PSF 1012","Firefighter Skills II",NA
"12","Cambrian College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://cambriancollege.ca/programs/pre-service-firefighter-education-and-training/","PSY 1204","Crisis Intervention",NA
"13","Cambrian College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://cambriancollege.ca/programs/pre-service-firefighter-education-and-training/","PSF 1013","Firefighter Skills III",NA
"14","Cambrian College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://cambriancollege.ca/programs/pre-service-firefighter-education-and-training/","PSF 1014","Technical Rescue",NA
