"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Pre-Trades/Technology","https://cambriancollege.ca/programs/pre-tradestechnology/","ENG 1182","Reading Skills: Trades/Technology",NA
"2","Cambrian College of Applied Arts and Technology","Pre-Trades/Technology","https://cambriancollege.ca/programs/pre-tradestechnology/","MTH 1172","Mathematics for Trades & Tech. I",NA
"3","Cambrian College of Applied Arts and Technology","Pre-Trades/Technology","https://cambriancollege.ca/programs/pre-tradestechnology/","PRT 1000","Applied Technology I 1",NA
"4","Cambrian College of Applied Arts and Technology","Pre-Trades/Technology","https://cambriancollege.ca/programs/pre-tradestechnology/","PRT 1009","Exploring Careers in Trades 1",NA
"5","Cambrian College of Applied Arts and Technology","Pre-Trades/Technology","https://cambriancollege.ca/programs/pre-tradestechnology/","PRT 1115","Computers in Pre-Trades & Tech I",NA
"6","Cambrian College of Applied Arts and Technology","Pre-Trades/Technology","https://cambriancollege.ca/programs/pre-tradestechnology/","SCI 1003","Applied Science 1",NA
"7","Cambrian College of Applied Arts and Technology","Pre-Trades/Technology","https://cambriancollege.ca/programs/pre-tradestechnology/","ENG 1002","College Communications",NA
"8","Cambrian College of Applied Arts and Technology","Pre-Trades/Technology","https://cambriancollege.ca/programs/pre-tradestechnology/","MTH 1272","Mathematics for Trades & Tech. II",NA
"9","Cambrian College of Applied Arts and Technology","Pre-Trades/Technology","https://cambriancollege.ca/programs/pre-tradestechnology/","ELN 1221","Introductory Electronics",NA
"10","Cambrian College of Applied Arts and Technology","Pre-Trades/Technology","https://cambriancollege.ca/programs/pre-tradestechnology/","PRT 1001","Applied Technology II",NA
"11","Cambrian College of Applied Arts and Technology","Pre-Trades/Technology","https://cambriancollege.ca/programs/pre-tradestechnology/","PRT 1002","Computers for Technology",NA
"12","Cambrian College of Applied Arts and Technology","Pre-Trades/Technology","https://cambriancollege.ca/programs/pre-tradestechnology/","PRT 1003","Physics for Trades and Tech",NA
