"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Project Management – Graduate Certificate","https://cambriancollege.ca/programs/project-management/","BUS 1099","Project Integration Management",NA
"2","Cambrian College of Applied Arts and Technology","Project Management – Graduate Certificate","https://cambriancollege.ca/programs/project-management/","COM 1002","Project Communication Management",NA
"3","Cambrian College of Applied Arts and Technology","Project Management – Graduate Certificate","https://cambriancollege.ca/programs/project-management/","PRM 1001","Principles of Project Mgmt",NA
"4","Cambrian College of Applied Arts and Technology","Project Management – Graduate Certificate","https://cambriancollege.ca/programs/project-management/","PRM 1002","Project  Scope & Quality Management",NA
"5","Cambrian College of Applied Arts and Technology","Project Management – Graduate Certificate","https://cambriancollege.ca/programs/project-management/","PRM 1003","Project Cost Management",NA
"6","Cambrian College of Applied Arts and Technology","Project Management – Graduate Certificate","https://cambriancollege.ca/programs/project-management/","PRM 1004","Project Planning & Scheduling",NA
"7","Cambrian College of Applied Arts and Technology","Project Management – Graduate Certificate","https://cambriancollege.ca/programs/project-management/","HUR 1002","Project Resource Management and Corporate Social Responsibility",NA
"8","Cambrian College of Applied Arts and Technology","Project Management – Graduate Certificate","https://cambriancollege.ca/programs/project-management/","PRM 1005","Project Risk Management",NA
"9","Cambrian College of Applied Arts and Technology","Project Management – Graduate Certificate","https://cambriancollege.ca/programs/project-management/","PRM 1006","Proj Procurement & Cont. Mgmt",NA
"10","Cambrian College of Applied Arts and Technology","Project Management – Graduate Certificate","https://cambriancollege.ca/programs/project-management/","PRM 1007","Project Stakeholder Management",NA
"11","Cambrian College of Applied Arts and Technology","Project Management – Graduate Certificate","https://cambriancollege.ca/programs/project-management/","PRM 1008","Agile Project Management",NA
"12","Cambrian College of Applied Arts and Technology","Project Management – Graduate Certificate","https://cambriancollege.ca/programs/project-management/","PRM 1009","Proj Mgmt Capstone Project",NA
