"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","ENG 1002","College Communications",NA
"2","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","SEC 1001","Note Taking and Report Writing",NA
"3","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","SEC 1004","Private Investigating and Specialized Services",NA
"4","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","SEC 1200","Security & Communities",NA
"5","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","SEC 2322","Security Guard Private Inv. Duties",NA
"6","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","SEC 2410","Security Guard: Powers of Arrest",NA
"7","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","LAW 1105","Ethics & Diversity Issues",NA
"8","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","PSY 1106","Interpersonal & Tactical Response",NA
"9","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","SEC 1205","Investigations and Evidence",NA
"10","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","SEC 1002","Personal Safety Techniques",NA
"11","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","SEC 2400","Conflict Management",NA
"12","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","SEC 2421","Security Management",NA
"13","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","LAW 1010","Canadian Criminal Justice",NA
"14","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","FIT 1510","Physical Fitness and Wellness",NA
"15","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","PFP 1065","Community Policing I",NA
"16","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","POL 1500","Canadian Political Studies",NA
"17","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","PSY 1050","Introduction To Psychology I",NA
"18","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","SOC 1000","Introduction To Sociology",NA
"19","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","SOC 1210","Introduction To Criminology",NA
"20","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","ENG 1126","Commun. Skills/Justice Students I",NA
"21","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","FIT 1501","Physical Fitness & Wellness II",NA
"22","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","LAW 3050","Youth In Conflict With Law",NA
"23","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","PFP 3010","Criminal And Civil Law",NA
"24","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","PFP 4010","Provincial Offences",NA
"25","Cambrian College of Applied Arts and Technology","Protection, Security and Investigation","https://cambriancollege.ca/programs/protection-security-and-investigation/","PSY 1003","Concurrent Disorders, Mental Health & Addictions",NA
