"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Public Relations – Graduate Certificate","https://cambriancollege.ca/programs/public-relations-graduate-certificate/","ADV 1231","Photography",NA
"2","Cambrian College of Applied Arts and Technology","Public Relations – Graduate Certificate","https://cambriancollege.ca/programs/public-relations-graduate-certificate/","ISP 1216","Communication Design",NA
"3","Cambrian College of Applied Arts and Technology","Public Relations – Graduate Certificate","https://cambriancollege.ca/programs/public-relations-graduate-certificate/","PRO 1105","Intro To Public Relations Theory",NA
"4","Cambrian College of Applied Arts and Technology","Public Relations – Graduate Certificate","https://cambriancollege.ca/programs/public-relations-graduate-certificate/","PRO 2305","Event Management Theory",NA
"5","Cambrian College of Applied Arts and Technology","Public Relations – Graduate Certificate","https://cambriancollege.ca/programs/public-relations-graduate-certificate/","PRO 3541","Corporate Communications",NA
"6","Cambrian College of Applied Arts and Technology","Public Relations – Graduate Certificate","https://cambriancollege.ca/programs/public-relations-graduate-certificate/","MKT 1104","Marketing Essentials",NA
"7","Cambrian College of Applied Arts and Technology","Public Relations – Graduate Certificate","https://cambriancollege.ca/programs/public-relations-graduate-certificate/","PRO 2400","Writing for Media Relations",NA
"8","Cambrian College of Applied Arts and Technology","Public Relations – Graduate Certificate","https://cambriancollege.ca/programs/public-relations-graduate-certificate/","PRO 2417","Speechwriting and Presenting",NA
"9","Cambrian College of Applied Arts and Technology","Public Relations – Graduate Certificate","https://cambriancollege.ca/programs/public-relations-graduate-certificate/","PRO 3000","Applied Public Relations",NA
"10","Cambrian College of Applied Arts and Technology","Public Relations – Graduate Certificate","https://cambriancollege.ca/programs/public-relations-graduate-certificate/","PRO 3520","Strategic Communications Planning",NA
"11","Cambrian College of Applied Arts and Technology","Public Relations – Graduate Certificate","https://cambriancollege.ca/programs/public-relations-graduate-certificate/","PRO 3560","Social and Digital Media",NA
"12","Cambrian College of Applied Arts and Technology","Public Relations – Graduate Certificate","https://cambriancollege.ca/programs/public-relations-graduate-certificate/","PRO 1215","Media Relations",NA
