"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","ENG 1002","College Communications",NA
"2","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","PSY 1050","Introduction To Psychology I",NA
"3","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","SOC 1007","Introduction to Indigenous Studies",NA
"4","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","WES 1001","Communication in Small Groups I",NA
"5","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","WES 1110","Social Work Practice I",NA
"6","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","WES 1002","Anishnabeg/Indigenous Social Services I",NA
"7","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","GER 1200","Introduction To Gerontology",NA
"8","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","ENG 1242","Speaking/Writing Comm. Services I",NA
"9","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","WES 1210","Social Work Practice II",NA
"10","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","WES 1240","Communication in Small Groups II",NA
"11","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","WES 1003","Anishnabeg/Indigenous Family and Community Dynamics",NA
"12","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","WES 1295","Field Work I",NA
"13","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","WES 1004","Anishnabeg/Indigenous Social Services II",NA
"14","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","WES 1063","Anishnabeg/Indigenous Social Work Practice III",NA
"15","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","WES 2052","Recording & Observation",NA
"16","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","WES 1251","Ethics",NA
"17","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","WES 2320","Group Dynamics",NA
"18","Cambrian College of Applied Arts and Technology","Social Services Worker – Indigenous Specialization","https://cambriancollege.ca/programs/social-services-worker-indigenous-specialization/","WES 2490","Field Work II",NA
