"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Supply Chain Management – Graduate Certificate","https://cambriancollege.ca/programs/supply-chain-management/","BUS 1150","Supply Chain Management I",NA
"2","Cambrian College of Applied Arts and Technology","Supply Chain Management – Graduate Certificate","https://cambriancollege.ca/programs/supply-chain-management/","ACC 7300","Accounting for Non-Financial Managers",NA
"3","Cambrian College of Applied Arts and Technology","Supply Chain Management – Graduate Certificate","https://cambriancollege.ca/programs/supply-chain-management/","BUS 1265","Inventory and Materials Management",NA
"4","Cambrian College of Applied Arts and Technology","Supply Chain Management – Graduate Certificate","https://cambriancollege.ca/programs/supply-chain-management/","PRM 1001","Principles of Project Mgmt",NA
"5","Cambrian College of Applied Arts and Technology","Supply Chain Management – Graduate Certificate","https://cambriancollege.ca/programs/supply-chain-management/","BUS 1136","Business Communication Strategies",NA
"6","Cambrian College of Applied Arts and Technology","Supply Chain Management – Graduate Certificate","https://cambriancollege.ca/programs/supply-chain-management/","BUS 1165","Quantitative Techniques for Supply Chain Management",NA
"7","Cambrian College of Applied Arts and Technology","Supply Chain Management – Graduate Certificate","https://cambriancollege.ca/programs/supply-chain-management/","BUS 1160","Supply Chain Management II",NA
"8","Cambrian College of Applied Arts and Technology","Supply Chain Management – Graduate Certificate","https://cambriancollege.ca/programs/supply-chain-management/","BUS 1180","Warehousing and Distribution Center Management",NA
"9","Cambrian College of Applied Arts and Technology","Supply Chain Management – Graduate Certificate","https://cambriancollege.ca/programs/supply-chain-management/","BUS 1260","Transportation and Logistics",NA
"10","Cambrian College of Applied Arts and Technology","Supply Chain Management – Graduate Certificate","https://cambriancollege.ca/programs/supply-chain-management/","LAW 1005","Global Legal Issues",NA
"11","Cambrian College of Applied Arts and Technology","Supply Chain Management – Graduate Certificate","https://cambriancollege.ca/programs/supply-chain-management/","BUS 1170","Strategic Sourcing",NA
"12","Cambrian College of Applied Arts and Technology","Supply Chain Management – Graduate Certificate","https://cambriancollege.ca/programs/supply-chain-management/","BUS 1231","Applied Learning Project",NA
