"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","MTH 1010","Trade Math I",NA
"2","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","WLD 1001","Blueprint Reading & Drafting I 1",NA
"3","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","WLD 1003","Metal Trades Practices 1",NA
"4","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","WLD 1122","Welding Applications I 1",NA
"5","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","WLD 1131","Welding Processes & Technology I",NA
"6","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","ENG 1002","College Communications",NA
"7","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","FAB 1200","Fabrication & Assembly Practices I 1",NA
"8","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","WLD 1000","Welding Metallurgy",NA
"9","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","WLD 1004","Layout & Template Development I",NA
"10","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","WLD 1006","Drawing/Inter. & Drafting I",NA
"11","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","WLD 1226","Welding Appl. & Practical Skill I 1",NA
"12","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","ENG 1780","Applied Communication II",NA
"13","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","FAB 2300","Fabrication & Assembly Practices II 1",NA
"14","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","WLD 1007","Drawing Interpretation",NA
"15","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","WLD 1009","Welding Processes & Practices",NA
"16","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","WLD 1011","Intro to Steel Detailing",NA
"17","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","WLD 2322","Welding Appl. & Practical Skill II 1",NA
"18","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","FAB 2401","Fabrication & Assembly Practice III 1",NA
"19","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","LTD 2400","Layout & Template Develop III",NA
"20","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","SSD 2400","Plate & Structural Steel Develop.II 1",NA
"21","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","WLD 2413","Welding Appl n & Prac'l Skills III 1",NA
"22","Cambrian College of Applied Arts and Technology","Welding and Fabrication Technician","https://cambriancollege.ca/programs/welding-and-fabrication-technician/","WLD 2416","Job Planning & Preparation",NA
