"","Institution","Program","Program_url","Code","Name","Description"
"1","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","ENG 1002","College Communications",NA
"2","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","OHD 1000","Occupational Health and Safety",NA
"3","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","TRN 1001","Training and Development",NA
"4","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","CMP 1011","Computer Applications",NA
"5","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","CHM 1255","Chem Fundamentals Occ Health 1",NA
"6","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","LDC 1000","Eth. Leader. and Crit. Dec. Ma",NA
"7","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","BIO 1023","Introduction to Biology",NA
"8","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","OHS 1012","OHS Management Systems",NA
"9","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","HEA 1062","Ind Perspectives on Care",NA
"10","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","PSY 2700","Client Comm. & Leadership Develop",NA
"11","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","HEA 1051","Health and Wellness",NA
"12","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","BUS 2040","Organizational Behavior",NA
"13","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","OHS 1013","Ergonomics",NA
"14","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","OHS 1014","Risk Management",NA
"15","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","OHS 1015","Disability Management",NA
"16","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","LAW 1031","Employment Law",NA
"17","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","OHS 1016","Accident Prevention and Invest",NA
"18","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","OHS 1017","Ind. Hygiene and Toxicology",NA
"19","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","OHS 1018","Ind. Hygiene and Toxico. Lab 1",NA
"20","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","ENV 1120","Environmental Management",NA
"21","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","OHS 1021","Operational Safety",NA
"22","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","OHS 1019","Introduction to Process Safety",NA
"23","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","OHS 1020","Emergency Planning and Mgmt",NA
"24","Cambrian College of Applied Arts and Technology","Workplace Safety and Prevention Technician","https://cambriancollege.ca/programs/workplace-safety-and-prevention-technician/","FPL 1000","Field Placement",NA
