"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/","BMAB-700","Fundamentals of Alcoholic Beverages",NA
"2","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/","BMAB-710","Supply Chain Management",NA
"3","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/","BMAB-711","Management Accounting for the Alcohol Industry",NA
"4","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/","BMAB-712","Global Regulatory Environment and CSR",NA
"5","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/","BUSN-702","Coop/Employment Preparedness",NA
"6","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/","MKTG-716","Marketing",NA
"7","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/","MKTG-718","Customer Insights and Analytics",NA
"8","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/","BMAB-720","Sales Management for Alcohol Beverages",NA
"9","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/","BMAB-721","Category Management",NA
"10","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/","BMAB-722","Strategic Business Planning - Capstone",NA
"11","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/","BMAB-723","Marketing Alcoholic Beverages",NA
"12","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/","ENTP-700","Innovation and Change Management",NA
"13","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/","MGMT-704","Management and Leadership",NA
"14","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/","MKTG-725","Omni-channel Retailing",NA
"15","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/",NA,NA,NA
"16","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/",NA,NA,NA
"17","Centennial College of Applied Arts and Technology","Advanced Business Management - Alcoholic Beverages (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/",NA,NA,NA
