"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Advanced Television and Film – Script to Screen","https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/","FLMA-701","Screenwriting 1 (Short Film Development)",NA
"2","Centennial College of Applied Arts and Technology","Advanced Television and Film – Script to Screen","https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/","FLMA-702","Directing 1",NA
"3","Centennial College of Applied Arts and Technology","Advanced Television and Film – Script to Screen","https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/","FLMA-704","Production 1",NA
"4","Centennial College of Applied Arts and Technology","Advanced Television and Film – Script to Screen","https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/","FLMA-705","Post-Production 1",NA
"5","Centennial College of Applied Arts and Technology","Advanced Television and Film – Script to Screen","https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/","FLMA-706","Camera, Lighting and Sound",NA
"6","Centennial College of Applied Arts and Technology","Advanced Television and Film – Script to Screen","https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/","FLMA-716","Short Film Rehearsal and Pre-Production",NA
"7","Centennial College of Applied Arts and Technology","Advanced Television and Film – Script to Screen","https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/","FLMA-717","Short Film Production",NA
"8","Centennial College of Applied Arts and Technology","Advanced Television and Film – Script to Screen","https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/","FLMA-718","Short Film Post-Production",NA
"9","Centennial College of Applied Arts and Technology","Advanced Television and Film – Script to Screen","https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/","FLMA-799","Storyworks",NA
"10","Centennial College of Applied Arts and Technology","Advanced Television and Film – Script to Screen","https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/","Academic Option","Academic Option",NA
"11","Centennial College of Applied Arts and Technology","Advanced Television and Film – Script to Screen","https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/","FLMA-711","Screenwriting 2",NA
"12","Centennial College of Applied Arts and Technology","Advanced Television and Film – Script to Screen","https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/","FLMA-712","Directing 2",NA
"13","Centennial College of Applied Arts and Technology","Advanced Television and Film – Script to Screen","https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/","FLMA-714","Production 2",NA
"14","Centennial College of Applied Arts and Technology","Advanced Television and Film – Script to Screen","https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/","FLMA-715","Post-Production 2",NA
