"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-700","Digital Communication Planning",NA
"2","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-701","Integrated Marketing Foundations",NA
"3","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-702","Advertising Research & Analysis",NA
"4","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-703","Account Management Practices",NA
"5","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-704","Media for Account Managers",NA
"6","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-705","Business Communications and Collaboration",NA
"7","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-706","Career Readiness",NA
"8","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-707","Broadcast and Digital Content Production",NA
"9","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-708","Digital Landscape",NA
"10","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-709","Creative Concept Development",NA
"11","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-712","Agency Finance and Administration",NA
"12","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-710","Advanced Integrated Marketing",NA
"13","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-711","Strategic Planning and Consumer Insight",NA
"14","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-713","Advertising Planning & Campaign Management",NA
"15","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-714","Advertising Issues and Innovation",NA
"16","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-715","Digital Production Management",NA
"17","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-717","Design and Production Fundamentals",NA
"18","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-718","Digital Measurement and Analytics",NA
"19","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-719","Digital Landscape II",NA
"20","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-721","Brand Activations and Experiential",NA
"21","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-799","Storyworks",NA
"22","Centennial College of Applied Arts and Technology","Advertising - Account Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/","AAM-720","Placement (Account Management)",NA
