"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Advertising - Creative & Digital Strategy","https://www.centennialcollege.ca/programs-courses/full-time/advertising-creative-digital-strategy/","ADCS-700","Intro to Advertising and Marketing",NA
"2","Centennial College of Applied Arts and Technology","Advertising - Creative & Digital Strategy","https://www.centennialcollege.ca/programs-courses/full-time/advertising-creative-digital-strategy/","ADCS-701","Digital Design",NA
"3","Centennial College of Applied Arts and Technology","Advertising - Creative & Digital Strategy","https://www.centennialcollege.ca/programs-courses/full-time/advertising-creative-digital-strategy/","ADCS-702","Introduction to Creative Strategy",NA
"4","Centennial College of Applied Arts and Technology","Advertising - Creative & Digital Strategy","https://www.centennialcollege.ca/programs-courses/full-time/advertising-creative-digital-strategy/","ADCS-703","Digital Writing",NA
"5","Centennial College of Applied Arts and Technology","Advertising - Creative & Digital Strategy","https://www.centennialcollege.ca/programs-courses/full-time/advertising-creative-digital-strategy/","ADCS-704","Introduction to Creative Software",NA
"6","Centennial College of Applied Arts and Technology","Advertising - Creative & Digital Strategy","https://www.centennialcollege.ca/programs-courses/full-time/advertising-creative-digital-strategy/","AAM-799","Storyworks",NA
"7","Centennial College of Applied Arts and Technology","Advertising - Creative & Digital Strategy","https://www.centennialcollege.ca/programs-courses/full-time/advertising-creative-digital-strategy/","ADCS-720","Creative Career Management",NA
"8","Centennial College of Applied Arts and Technology","Advertising - Creative & Digital Strategy","https://www.centennialcollege.ca/programs-courses/full-time/advertising-creative-digital-strategy/","ADCS-721","Creative Entrepreneurship",NA
"9","Centennial College of Applied Arts and Technology","Advertising - Creative & Digital Strategy","https://www.centennialcollege.ca/programs-courses/full-time/advertising-creative-digital-strategy/","ADCS-722","Digital Presentation",NA
"10","Centennial College of Applied Arts and Technology","Advertising - Creative & Digital Strategy","https://www.centennialcollege.ca/programs-courses/full-time/advertising-creative-digital-strategy/","ADCS-723","The Digital Ecosystem",NA
"11","Centennial College of Applied Arts and Technology","Advertising - Creative & Digital Strategy","https://www.centennialcollege.ca/programs-courses/full-time/advertising-creative-digital-strategy/","ADCS-724","Prototyping and Research",NA
"12","Centennial College of Applied Arts and Technology","Advertising - Creative & Digital Strategy","https://www.centennialcollege.ca/programs-courses/full-time/advertising-creative-digital-strategy/","ADCS-725","Collaboration",NA
"13","Centennial College of Applied Arts and Technology","Advertising - Creative & Digital Strategy","https://www.centennialcollege.ca/programs-courses/full-time/advertising-creative-digital-strategy/","ADCS-750","Field Placement",NA
