"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Advertising and Marketing Communications Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-and-marketing-communications-management/","CA-101","Introduction to Agency Advertising",NA
"2","Centennial College of Applied Arts and Technology","Advertising and Marketing Communications Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-and-marketing-communications-management/","CA-105","Foundations in Marketing",NA
"3","Centennial College of Applied Arts and Technology","Advertising and Marketing Communications Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-and-marketing-communications-management/","CA-109","Presentation and Collaboration Techniques",NA
"4","Centennial College of Applied Arts and Technology","Advertising and Marketing Communications Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-and-marketing-communications-management/","CA-110","Consumer Behaviour in Practice",NA
"5","Centennial College of Applied Arts and Technology","Advertising and Marketing Communications Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-and-marketing-communications-management/","CO-108","Tools and Processes for Communicators",NA
"6","Centennial College of Applied Arts and Technology","Advertising and Marketing Communications Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-and-marketing-communications-management/","COMM-170/COMM-171","College Communications 2",NA
"7","Centennial College of Applied Arts and Technology","Advertising and Marketing Communications Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-and-marketing-communications-management/","CA-103","Introduction to Media Planning",NA
"8","Centennial College of Applied Arts and Technology","Advertising and Marketing Communications Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-and-marketing-communications-management/","CA-106","Integrated Marketing",NA
"9","Centennial College of Applied Arts and Technology","Advertising and Marketing Communications Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-and-marketing-communications-management/","CA-120","Creative Concept Development",NA
"10","Centennial College of Applied Arts and Technology","Advertising and Marketing Communications Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-and-marketing-communications-management/","CA-204","Introduction to Digital Design",NA
"11","Centennial College of Applied Arts and Technology","Advertising and Marketing Communications Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-and-marketing-communications-management/","CA-210","Account Management",NA
