"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AAM-701","Integrated Marketing Foundations",NA
"2","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AAM-705","Business Communications and Collaboration",NA
"3","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AAM-706","Career Readiness",NA
"4","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AMED-701","Digital Communications I",NA
"5","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AMED-703","Media Research Data and Analyses",NA
"6","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AMED-704","Introduction to Media Planning",NA
"7","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AMED-705","Broadcast Buying and Measurement",NA
"8","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AMED-707","Connection Planning",NA
"9","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AAM-713","Advertising Planning & Campaign Management",NA
"10","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AMED-716","Media Account Administration",NA
"11","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AMED-720","Media Buying and Reporting",NA
"12","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AMED-721","Digital Communications II",NA
"13","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AMED-723","Media Advertising Negotiation and Sales",NA
"14","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AMED-724","Media Industry Issues",NA
"15","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AMED-799","Storyworks",NA
"16","Centennial College of Applied Arts and Technology","Advertising – Media Management","https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/","AMED-750","Field Placement (Media Management)",NA
