"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-010","Animation Fundamentals",NA
"2","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-012","Broadcast Production",NA
"3","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-013","Intro to Maya",NA
"4","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-014","Character Design",NA
"5","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-015","Animation Theory",NA
"6","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-016","Compositing 1",NA
"7","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-199","Creativity in Context",NA
"8","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","CO-109","Drawing for 3D Modeling and Animation",NA
"9","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","COMM-160/COMM-161","College Communications 1",NA
"10","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","GNED","General Education Elective",NA
"11","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-020","Modeling and Rigging",NA
"12","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-021","3D Character Animation",NA
"13","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-022","Matte Painting",NA
"14","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-023","Sculpting and Acting for Animation",NA
"15","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-024","Short Film Concept Development",NA
"16","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","COMM-170/COMM-171","College Communications 2",NA
"17","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"18","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-030","Short Film Production",NA
"19","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-031","VFX Compositing",NA
"20","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-032","Tracking and Roto",NA
"21","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-033","Rendering and Lighting",NA
"22","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-034","Dynamics",NA
"23","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","CO-428","Integrated Media",NA
"24","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","GNED","General Education Elective",NA
"25","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-040","Final Project Studio",NA
"26","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-041","Scripting",NA
"27","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-222","Field Placement",NA
"28","Centennial College of Applied Arts and Technology","Animation - 3D","https://www.centennialcollege.ca/programs-courses/full-time/animation-3d/","ANIM-500","Storyworks",NA
