"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","ARCH-101","Design and Computer Aided Drafting Project 1",NA
"2","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","ARCH-102","Architectural CAD 1",NA
"3","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","COMM-170/COMM-171","College Communications 2",NA
"4","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","ENVR-101","Environment 1",NA
"5","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","GNED","General Education Elective",NA
"6","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","MATH-111","Mathematics for Architecture 1",NA
"7","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","MATM-101","Materials and Methods 1",NA
"8","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","ARAP-124","Applied Physics",NA
"9","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","ARCH-121","Design and Computer Aided Drafting Project 2",NA
"10","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","ENVR-123","Environment 2",NA
"11","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"12","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","MATH-112","Mathematics for Architecture 2",NA
"13","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","MATM-122","Materials and Methods 2",NA
"14","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","ACHS-204","Construction Health & Safety",NA
"15","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","ARBC-205","Builders and Contractors",NA
"16","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","ARCH-201","Design and Computer Aided Drafting Project 3",NA
"17","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","ARCH-206","History of Architecture",NA
"18","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","ENVR-203","Environment 3",NA
"19","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","MATM-202","Materials and Methods 3",NA
"20","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","ARBS-222","Building Services 1",NA
"21","Centennial College of Applied Arts and Technology","Architectural Technology (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/architectural-technology/","ARCH-221","Design and Computer Aided Drafting Project 4",NA
