"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-100","Programming I",NA
"3","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-120","Software Engineering Fundamentals",NA
"4","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-213","Web Interface Design",NA
"5","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","GNED","General Education Elective",NA
"6","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","MATH-175","Functions and Number Systems",NA
"7","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMM-170/171","College Communication 2",NA
"8","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-122","Introduction to Database Concepts",NA
"9","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-123","Programming 2",NA
"10","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-125","Client-Side Web Development",NA
"11","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-225","Software Engineering Methodologies 1",NA
"12","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-301","Unix/Linux Operating Systems",NA
"13","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","MATH-185","Discrete Mathematics",NA
"14","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-228","Java Programming",NA
"15","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-229","Web Application Development",NA
"16","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-237","Introduction to Artificial Intelligence",NA
"17","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-246","Object Oriented Software Engineering",NA
"18","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"19","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","MATH-210","Linear Algebra and Statistics",NA
"20","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-214","Advanced Database Concepts",NA
"21","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-216","Networking for Software Developers",NA
"22","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-247","Supervised Learning",NA
"23","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-254","Data Structures and Algorithms",NA
"24","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-311","Software Testing and Quality Assurance",NA
"25","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","ENGL-253","Advanced Business Communications",NA
"26","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","CNET-307","IT Project Management",NA
"27","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-251","Big Data Tools for Machine Learning",NA
"28","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-255","Business and Entrepreneurship for Software Engineering Technology",NA
"29","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-257","Unsupervised and Reinforcement Learning",NA
"30","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-258","Neural Networks",NA
"31","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-304","Mobile Applications Development",NA
"32","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-261","AI Ethics and Data Governance",NA
"33","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-262","Natural Language Processing and Recommender Systems",NA
"34","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-263","Deep Learning",NA
"35","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-264","Cloud Machine Learning",NA
"36","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","COMP-313","Software Development Project 2",NA
"37","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","EMPS-102","Employment Skills 2",NA
"38","Centennial College of Applied Arts and Technology","Artificial Intelligence","https://www.centennialcollege.ca/programs-courses/full-time/artificial-intelligence/","GNED","General Education Elective",NA
