"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Arts Education and Community Engagement","https://www.centennialcollege.ca/programs-courses/full-time/arts-education-and-community-engagement/","AECE-701","Foundations of the Arts in Communities",NA
"2","Centennial College of Applied Arts and Technology","Arts Education and Community Engagement","https://www.centennialcollege.ca/programs-courses/full-time/arts-education-and-community-engagement/","AECE-702","Learning and Development",NA
"3","Centennial College of Applied Arts and Technology","Arts Education and Community Engagement","https://www.centennialcollege.ca/programs-courses/full-time/arts-education-and-community-engagement/","AECE-703","Facilitation and Communication",NA
"4","Centennial College of Applied Arts and Technology","Arts Education and Community Engagement","https://www.centennialcollege.ca/programs-courses/full-time/arts-education-and-community-engagement/","AECE-704","Program Development Practicum",NA
"5","Centennial College of Applied Arts and Technology","Arts Education and Community Engagement","https://www.centennialcollege.ca/programs-courses/full-time/arts-education-and-community-engagement/","AECE-705","Ethics and Social Justice 1",NA
"6","Centennial College of Applied Arts and Technology","Arts Education and Community Engagement","https://www.centennialcollege.ca/programs-courses/full-time/arts-education-and-community-engagement/","AECE-706","Careers in Arts Education 1",NA
"7","Centennial College of Applied Arts and Technology","Arts Education and Community Engagement","https://www.centennialcollege.ca/programs-courses/full-time/arts-education-and-community-engagement/","AECE-707","Self-Directed Learning",NA
"8","Centennial College of Applied Arts and Technology","Arts Education and Community Engagement","https://www.centennialcollege.ca/programs-courses/full-time/arts-education-and-community-engagement/","AECE-721","Applied Community Arts",NA
"9","Centennial College of Applied Arts and Technology","Arts Education and Community Engagement","https://www.centennialcollege.ca/programs-courses/full-time/arts-education-and-community-engagement/","AECE-723","Financial Management in the Arts",NA
"10","Centennial College of Applied Arts and Technology","Arts Education and Community Engagement","https://www.centennialcollege.ca/programs-courses/full-time/arts-education-and-community-engagement/","AECE-724","Field Placement",NA
"11","Centennial College of Applied Arts and Technology","Arts Education and Community Engagement","https://www.centennialcollege.ca/programs-courses/full-time/arts-education-and-community-engagement/","AECE-725","Ethics and Social Justice 2",NA
"12","Centennial College of Applied Arts and Technology","Arts Education and Community Engagement","https://www.centennialcollege.ca/programs-courses/full-time/arts-education-and-community-engagement/","AECE-726","Careers in Arts Education 2",NA
"13","Centennial College of Applied Arts and Technology","Arts Education and Community Engagement","https://www.centennialcollege.ca/programs-courses/full-time/arts-education-and-community-engagement/","AECE-727","Arts and Wellness",NA
"14","Centennial College of Applied Arts and Technology","Arts Education and Community Engagement","https://www.centennialcollege.ca/programs-courses/full-time/arts-education-and-community-engagement/","AECE-799","Storyworks",NA
