"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-700","The Creation, Production and Dissemination of Art",NA
"2","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-701","Arts Marketing I",NA
"3","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-702","Fundraising I",NA
"4","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-703","Financial Management in the Arts",NA
"5","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-704","Careers in Arts Management I",NA
"6","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-705","Event Management I",NA
"7","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-706","Innovative Technologies in the Arts",NA
"8","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-708","Institutional Leadership and Management",NA
"9","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-720","Mentorship",NA
"10","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-707","Community Engagement and Arts Education",NA
"11","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-721","Arts Marketing II",NA
"12","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-722","Fundraising II",NA
"13","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-723","Legal and Ethical Environments in the Arts",NA
"14","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-724","Careers in Arts Management II",NA
"15","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-725","Event Management II",NA
"16","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-726","Arts Policies",NA
"17","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-727","Issues in the Arts",NA
"18","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-730","Field Placement",NA
"19","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-731","Field Placement Review",NA
"20","Centennial College of Applied Arts and Technology","Arts Management","https://www.centennialcollege.ca/programs-courses/full-time/arts-management/","ARTM-799","Storyworks",NA
