"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRT-101","Personal & Shop Safety",NA
"2","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRT-102","Vehicle & Body Construction",NA
"3","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRT-103","Detailing & Refinishing Equipment Maintenance",NA
"4","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRT-104","Applied Mechanical Systems 1",NA
"5","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","COMM-140","Essential English Skills",NA
"6","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","GNED","General Education Elective",NA
"7","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","MATH-105","Basic Mathematics",NA
"8","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRT-201","Trade Tools & Shop Equipment",NA
"9","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRT-202","Non-Structural Repair Fundamentals",NA
"10","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRT-203","Refinishing Surface Preparation",NA
"11","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRT-204","Applied Mechanical Systems 2",NA
"12","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRT-205","Oxyacetylene & Gas Metal Arc Welding",NA
"13","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","COMM-160/161","College Communication 1",NA
"14","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRD-301","Plastic Repair",NA
"15","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRD-302","Non-Structural Panel Repair & Measuring",NA
"16","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRD-303","Plastic Panel Refinishing",NA
"17","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRD-304","Applied Mechanical Systems 3",NA
"18","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","COMM-170/171","College Communication 2",NA
"19","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"20","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRD-401","Automotive Glass & Safety",NA
"21","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRD-402","Non-Structural Panel Replacement",NA
"22","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRD-403","Refinishing Top Coat Application",NA
"23","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRD-404","Applied Mechanical Systems 4",NA
"24","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","ABRD-405","Gas Metal Arc Welding",NA
"25","Centennial College of Applied Arts and Technology","Auto Body Repair Technician","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-technician/","GNED","General Education Elective",NA
