"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Auto Body Repair Techniques","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-techniques/","ABRT-101","Personal & Shop Safety",NA
"2","Centennial College of Applied Arts and Technology","Auto Body Repair Techniques","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-techniques/","ABRT-102","Vehicle & Body Construction",NA
"3","Centennial College of Applied Arts and Technology","Auto Body Repair Techniques","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-techniques/","ABRT-103","Detailing & Refinishing Equipment Maintenance",NA
"4","Centennial College of Applied Arts and Technology","Auto Body Repair Techniques","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-techniques/","ABRT-104","Applied Mechanical Systems 1",NA
"5","Centennial College of Applied Arts and Technology","Auto Body Repair Techniques","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-techniques/","COMM-140","Essential English Skills",NA
"6","Centennial College of Applied Arts and Technology","Auto Body Repair Techniques","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-techniques/","GNED","General Education Elective",NA
"7","Centennial College of Applied Arts and Technology","Auto Body Repair Techniques","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-techniques/","MATH-105","Basic Mathematics",NA
"8","Centennial College of Applied Arts and Technology","Auto Body Repair Techniques","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-techniques/","ABRT-201","Trade Tools & Shop Equipment",NA
"9","Centennial College of Applied Arts and Technology","Auto Body Repair Techniques","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-techniques/","ABRT-202","Non-Structural Repair Fundamentals",NA
"10","Centennial College of Applied Arts and Technology","Auto Body Repair Techniques","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-techniques/","ABRT-203","Refinishing Surface Preparation",NA
"11","Centennial College of Applied Arts and Technology","Auto Body Repair Techniques","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-techniques/","ABRT-204","Applied Mechanical Systems 2",NA
"12","Centennial College of Applied Arts and Technology","Auto Body Repair Techniques","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-techniques/","ABRT-205","Oxyacetylene & Gas Metal Arc Welding",NA
"13","Centennial College of Applied Arts and Technology","Auto Body Repair Techniques","https://www.centennialcollege.ca/programs-courses/full-time/auto-body-repair-techniques/","COMM-160/161","College Communication 1",NA
