"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","ABEG-126","Occupational Health and Safety",NA
"2","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","APSO-103","Relational Interpersonal Skills for Service Advisors",NA
"3","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","APSO-106","Automotive Warranty & Leasing",NA
"4","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","APSO-114","Component Technology and Technical Skills",NA
"5","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","COMM-160/161","College Communication 1",NA
"6","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","MATH-118","Mathematics of Finance I",NA
"7","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","APSO-101","Automotive Customer Service & Sales",NA
"8","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","APSO-104","Automotive Service Process",NA
"9","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","APSO-113","Merchandising and Inventory",NA
"10","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","COMM-170/171","College Communication 2",NA
"11","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","COOP-521","Employment Pre-placement",NA
"12","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","GNED","General Education Elective",NA
"13","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","MKTG-116","Principles of Marketing",NA
"14","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","APSO-107","Automotive Service Estimating",NA
"15","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","APSO-109","Global Transportation Trends",NA
"16","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","APSO-213","Merchandising and Inventory 2",NA
"17","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","APSO-228","Introduction to Brand Management",NA
"18","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","DACO-611","Fixed Operations Management",NA
"19","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","ECON-205","Principles of Microeconomics",NA
"20","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"21","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","APSO-108","IT and Survey Systems",NA
"22","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","APSO-110","Introduction to Canadian Automotive Aftermarket",NA
"23","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","APSO-214","Component Technology and Technical Skills  2",NA
"24","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","ECON-206","Principles of Macroeconomics",NA
"25","Centennial College of Applied Arts and Technology","Automotive Parts & Service Operations (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-parts-service-operations/","GNED","General Education Elective",NA
