"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-301","Work Practices and Procedures",NA
"2","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-302","Engine Systems",NA
"3","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-305","Drive Train Systems",NA
"4","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-306","Steering, Suspension & Brake Systems",NA
"5","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-307","Fuel, Electrical and Electronics",NA
"6","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-301","Work Practices and Procedures",NA
"7","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-302","Engine Systems",NA
"8","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-305","Drive Train Systems",NA
"9","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-306","Steering, Suspension & Brake Systems",NA
"10","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-307","Fuel, Electrical and Electronics",NA
"11","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-301","Work Practices and Procedures",NA
"12","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-302","Engine Systems",NA
"13","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-305","Drive Train Systems",NA
"14","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-306","Steering, Suspension & Brake Systems",NA
"15","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-307","Fuel, Electrical and Electronics",NA
"16","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-301","Work Practices and Procedures",NA
"17","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-302","Engine Systems",NA
"18","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-305","Drive Train Systems",NA
"19","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-306","Steering, Suspension & Brake Systems",NA
"20","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-307","Fuel, Electrical and Electronics",NA
"21","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-301","Work Practices and Procedures",NA
"22","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-302","Engine Systems",NA
"23","Centennial College of Applied Arts and Technology","Automotive Service Technician Canadian Tire (MAP 32)","https://www.centennialcollege.ca/programs-courses/full-time/automotive-service-technician-canadian-tire/","APCT-305","Drive Train Systems",NA
